day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY SMA_5_25,9,0.4605809128630705,0.46473029045643155
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY SMA_5_25,6,0.45643153526970953,0.4605809128630705
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY SMA_5_25,6,0.4896265560165975,0.49377593360995853
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY SMA_5_25,9,0.5186721991701245,0.5228215767634855
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY SMA_5_25,9,0.4896265560165975,0.49377593360995853
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY SMA_5_25,14,0.47619047619047616,0.4805194805194805
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY SMA_5_25,10,0.5064935064935064,0.5108225108225108
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY SMA_5_25,10,0.5194805194805194,0.5281385281385281
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY SMA_5_25,13,0.48917748917748916,0.4935064935064935
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY SMA_5_25,16,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY SMA_5_25,19,0.5158371040723982,0.5248868778280543
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY SMA_5_25,16,0.5158371040723982,0.5203619909502263
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY SMA_5_25,13,0.4796380090497738,0.4796380090497738
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY SMA_5_25,20,0.5384615384615384,0.5384615384615384
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY SMA_5_25,18,0.5429864253393665,0.5475113122171946
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY SMA_5_25,24,0.5071090047393365,0.5165876777251185
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY SMA_5_25,20,0.4881516587677725,0.4928909952606635
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY SMA_5_25,16,0.5023696682464455,0.5071090047393365
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY SMA_5_25,18,0.5118483412322274,0.5213270142180095
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY SMA_5_25,27,0.4786729857819905,0.4834123222748815
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY SMA_5_25,29,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY SMA_5_25,24,0.5373134328358209,0.5422885572139303
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY SMA_5_25,19,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY SMA_5_25,21,0.4975124378109453,0.4975124378109453
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY SMA_5_25,27,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY SMA_5_25,42,0.5130890052356021,0.518324607329843
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY SMA_5_25,29,0.5130890052356021,0.5130890052356021
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY SMA_5_25,23,0.4816753926701571,0.4816753926701571
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY SMA_5_25,25,0.4816753926701571,0.4816753926701571
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY SMA_5_25,26,0.5497382198952879,0.5549738219895288
1,LSTM,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY SMA_5_25,42,0.5138121546961326,0.5248618784530387
1,LSTM,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY SMA_5_25,31,0.569060773480663,0.574585635359116
1,LSTM,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY SMA_5_25,31,0.5138121546961326,0.5248618784530387
1,LSTM,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY SMA_5_25,25,0.5248618784530387,0.5359116022099447
1,LSTM,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY SMA_5_25,29,0.5138121546961326,0.5248618784530387
1,LSTM,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY SMA_5_25,49,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY SMA_5_25,35,0.5789473684210527,0.5906432748538012
1,LSTM,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY SMA_5_25,35,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY SMA_5_25,30,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY SMA_5_25,44,0.5614035087719298,0.5730994152046783
1,LSTM,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY SMA_5_25,55,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY SMA_5_25,39,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY SMA_5_25,38,0.515527950310559,0.5279503105590062
1,LSTM,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY SMA_5_25,35,0.5341614906832298,0.546583850931677
1,LSTM,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY SMA_5_25,39,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,1000,100,USD_JPY_diff USD_JPY SMA_5_25,52,0.5298013245033113,0.5364238410596026
1,LSTM,2009-3-10,2018-10-31,1000,200,USD_JPY_diff USD_JPY SMA_5_25,45,0.5231788079470199,0.5298013245033113
1,LSTM,2009-3-10,2018-10-31,1000,300,USD_JPY_diff USD_JPY SMA_5_25,38,0.5298013245033113,0.5364238410596026
1,LSTM,2009-3-10,2018-10-31,1000,400,USD_JPY_diff USD_JPY SMA_5_25,45,0.5298013245033113,0.5364238410596026
1,LSTM,2009-3-10,2018-10-31,1000,500,USD_JPY_diff USD_JPY SMA_5_25,42,0.5629139072847682,0.5695364238410596
