day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY STOCH,8,0.4730290456431535,0.47717842323651455
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY STOCH,4,0.5145228215767634,0.5228215767634855
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY STOCH,5,0.5311203319502075,0.5394190871369294
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY STOCH,6,0.5394190871369294,0.5477178423236515
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY STOCH,7,0.4730290456431535,0.47717842323651455
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY STOCH,11,0.47619047619047616,0.4805194805194805
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY STOCH,9,0.48484848484848486,0.48917748917748916
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY STOCH,8,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY STOCH,8,0.4805194805194805,0.48484848484848486
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY STOCH,9,0.5064935064935064,0.5151515151515151
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY STOCH,15,0.502262443438914,0.5113122171945701
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY STOCH,12,0.4841628959276018,0.48868778280542985
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY STOCH,16,0.5384615384615384,0.5384615384615384
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY STOCH,10,0.48868778280542985,0.49321266968325794
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY STOCH,18,0.5610859728506787,0.5701357466063348
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY STOCH,19,0.5023696682464455,0.5071090047393365
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY STOCH,15,0.4834123222748815,0.4881516587677725
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY STOCH,16,0.5355450236966824,0.5450236966824644
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY STOCH,13,0.4834123222748815,0.4881516587677725
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY STOCH,13,0.5023696682464455,0.5118483412322274
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY STOCH,24,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY STOCH,19,0.5522388059701493,0.5572139303482587
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY STOCH,20,0.5472636815920398,0.5472636815920398
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY STOCH,16,0.48756218905472637,0.48756218905472637
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY STOCH,16,0.5124378109452736,0.5223880597014925
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY STOCH,28,0.5078534031413613,0.518324607329843
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY STOCH,23,0.5497382198952879,0.5602094240837696
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY STOCH,23,0.5078534031413613,0.518324607329843
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY STOCH,19,0.5078534031413613,0.518324607329843
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY STOCH,20,0.5759162303664922,0.5863874345549738
1,LSTM,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY STOCH,36,0.5138121546961326,0.5248618784530387
1,LSTM,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY STOCH,24,0.5524861878453039,0.5580110497237569
1,LSTM,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY STOCH,24,0.5248618784530387,0.5359116022099447
1,LSTM,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY STOCH,19,0.5469613259668509,0.5524861878453039
1,LSTM,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY STOCH,22,0.5138121546961326,0.5248618784530387
1,LSTM,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY STOCH,40,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY STOCH,28,0.5672514619883041,0.5789473684210527
1,LSTM,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY STOCH,28,0.5555555555555556,0.5672514619883041
1,LSTM,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY STOCH,21,0.49707602339181284,0.49707602339181284
1,LSTM,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY STOCH,25,0.5146198830409356,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY STOCH,45,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY STOCH,31,0.515527950310559,0.5279503105590062
1,LSTM,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY STOCH,30,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY STOCH,25,0.5093167701863354,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY STOCH,28,0.5527950310559007,0.5652173913043478
1,LSTM,2009-3-10,2018-10-31,1000,100,USD_JPY_diff USD_JPY STOCH,42,0.5298013245033113,0.5364238410596026
1,LSTM,2009-3-10,2018-10-31,1000,200,USD_JPY_diff USD_JPY STOCH,30,0.5231788079470199,0.5298013245033113
1,LSTM,2009-3-10,2018-10-31,1000,300,USD_JPY_diff USD_JPY STOCH,30,0.5298013245033113,0.5364238410596026
1,LSTM,2009-3-10,2018-10-31,1000,400,USD_JPY_diff USD_JPY STOCH,26,0.4900662251655629,0.4900662251655629
1,LSTM,2009-3-10,2018-10-31,1000,500,USD_JPY_diff USD_JPY STOCH,30,0.47019867549668876,0.47019867549668876
