day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,9,0.4845814977973568,0.4889867841409692
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,7,0.5022026431718062,0.5066079295154186
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,5,0.4669603524229075,0.4713656387665198
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,5,0.4669603524229075,0.4713656387665198
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,7,0.4669603524229075,0.4713656387665198
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,11,0.4792626728110599,0.48847926267281105
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,9,0.5161290322580645,0.5207373271889401
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,7,0.48847926267281105,0.4930875576036866
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,7,0.48847926267281105,0.4930875576036866
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,8,0.5161290322580645,0.5253456221198156
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,15,0.48792270531400966,0.4975845410628019
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,12,0.47342995169082125,0.4782608695652174
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,9,0.5314009661835749,0.5410628019323671
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,10,0.4927536231884058,0.5072463768115942
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,17,0.5265700483091788,0.5362318840579711
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,19,0.5279187817258884,0.5380710659898477
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,15,0.49746192893401014,0.49746192893401014
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,12,0.5380710659898477,0.5482233502538071
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,13,0.5380710659898477,0.5431472081218274
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,13,0.5279187817258884,0.5329949238578681
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,21,0.5347593582887701,0.5454545454545454
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,17,0.5294117647058824,0.5401069518716578
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,18,0.5133689839572193,0.5187165775401069
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,14,0.45454545454545453,0.45454545454545453
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,14,0.45989304812834225,0.45989304812834225
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,25,0.5310734463276836,0.5423728813559322
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,20,0.4858757062146893,0.4858757062146893
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,21,0.5310734463276836,0.5423728813559322
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,16,0.5423728813559322,0.5480225988700564
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,18,0.4858757062146893,0.4858757062146893
1,LSTM,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,34,0.48502994011976047,0.49101796407185627
1,LSTM,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,23,0.49700598802395207,0.5089820359281437
1,LSTM,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,24,0.5209580838323353,0.5269461077844312
1,LSTM,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,18,0.5209580838323353,0.5329341317365269
1,LSTM,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,21,0.5029940119760479,0.5089820359281437
1,LSTM,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,35,0.5286624203821656,0.5414012738853503
1,LSTM,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,29,0.47770700636942676,0.49044585987261147
1,LSTM,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,25,0.4840764331210191,0.49044585987261147
1,LSTM,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,38,0.535031847133758,0.5477707006369427
1,LSTM,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,23,0.5286624203821656,0.5414012738853503
1,LSTM,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,40,0.5238095238095238,0.5306122448979592
1,LSTM,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,32,0.5102040816326531,0.5170068027210885
1,LSTM,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,27,0.5238095238095238,0.5306122448979592
1,LSTM,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,30,0.5102040816326531,0.5102040816326531
1,LSTM,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,25,0.4965986394557823,0.4965986394557823
1,LSTM,2009-3-10,2018-10-31,1000,100,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,43,0.5401459854014599,0.5474452554744526
1,LSTM,2009-3-10,2018-10-31,1000,200,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,37,0.5182481751824818,0.5255474452554745
1,LSTM,2009-3-10,2018-10-31,1000,300,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,30,0.5255474452554745,0.5328467153284672
1,LSTM,2009-3-10,2018-10-31,1000,400,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,34,0.5255474452554745,0.5255474452554745
