day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,12,0.5251141552511416,0.5342465753424658
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,5,0.4977168949771689,0.502283105022831
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,7,0.45662100456621,0.4611872146118721
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,7,0.5205479452054794,0.5342465753424658
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,5,0.4977168949771689,0.5068493150684932
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,20,0.5119617224880383,0.5167464114832536
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,9,0.5167464114832536,0.5167464114832536
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,11,0.5215311004784688,0.5358851674641149
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,10,0.5167464114832536,0.5215311004784688
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,10,0.49760765550239233,0.507177033492823
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,25,0.49246231155778897,0.49748743718592964
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,19,0.49748743718592964,0.5025125628140703
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,16,0.49246231155778897,0.49748743718592964
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,13,0.5125628140703518,0.5175879396984925
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,11,0.45226130653266333,0.457286432160804
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,37,0.5343915343915344,0.5396825396825397
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,25,0.5132275132275133,0.5185185185185185
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,15,0.5132275132275133,0.5185185185185185
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,16,0.49206349206349204,0.4973544973544973
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,17,0.5396825396825397,0.544973544973545
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,45,0.46368715083798884,0.4748603351955307
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,27,0.5251396648044693,0.5307262569832403
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,19,0.5307262569832403,0.5307262569832403
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,19,0.4692737430167598,0.4748603351955307
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,20,0.4972067039106145,0.5027932960893855
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,60,0.5088757396449705,0.5207100591715976
