day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX,43,0.5242290748898678,0.5330396475770925
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX,41,0.4845814977973568,0.4889867841409692
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX,45,0.5198237885462555,0.5286343612334802
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX,44,0.5022026431718062,0.5066079295154186
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX,44,0.5374449339207048,0.5374449339207048
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX,51,0.5299539170506913,0.5391705069124424
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX,48,0.4976958525345622,0.5069124423963134
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX,47,0.5207373271889401,0.5299539170506913
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX,51,0.5069124423963134,0.511520737327189
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX,45,0.4700460829493088,0.47465437788018433
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX,57,0.5024154589371981,0.5120772946859904
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX,54,0.47342995169082125,0.4782608695652174
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX,53,0.5362318840579711,0.5458937198067633
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX,58,0.47342995169082125,0.4782608695652174
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX,50,0.463768115942029,0.46859903381642515
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX,65,0.5076142131979695,0.5126903553299492
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX,63,0.467005076142132,0.467005076142132
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY TOPIX,58,0.5482233502538071,0.5532994923857868
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY TOPIX,63,0.467005076142132,0.467005076142132
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY TOPIX,64,0.4720812182741117,0.4720812182741117
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY TOPIX,70,0.5294117647058824,0.5401069518716578
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY TOPIX,67,0.45989304812834225,0.45989304812834225
