day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,9,0.4977973568281938,0.5066079295154186
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,6,0.4669603524229075,0.4713656387665198
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,5,0.5110132158590308,0.5242290748898678
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,8,0.4713656387665198,0.47577092511013214
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,7,0.4845814977973568,0.4889867841409692
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,11,0.5391705069124424,0.5483870967741935
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,9,0.5069124423963134,0.511520737327189
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,9,0.48847926267281105,0.4930875576036866
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,8,0.48847926267281105,0.4930875576036866
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,8,0.4838709677419355,0.48847926267281105
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,15,0.5507246376811594,0.5603864734299517
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,12,0.4782608695652174,0.4830917874396135
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,13,0.4830917874396135,0.48792270531400966
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,10,0.5265700483091788,0.5362318840579711
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,11,0.463768115942029,0.46859903381642515
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,20,0.5076142131979695,0.5177664974619289
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,16,0.5228426395939086,0.5228426395939086
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,16,0.4720812182741117,0.4720812182741117
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,13,0.5279187817258884,0.5279187817258884
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,13,0.5177664974619289,0.5279187817258884
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,26,0.5294117647058824,0.5347593582887701
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,18,0.5187165775401069,0.5240641711229946
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,18,0.5294117647058824,0.5347593582887701
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,15,0.47593582887700536,0.48128342245989303
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,15,0.5240641711229946,0.5347593582887701
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,31,0.536723163841808,0.5423728813559322
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,20,0.5480225988700564,0.5536723163841808
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,21,0.5310734463276836,0.536723163841808
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,17,0.5028248587570622,0.5084745762711864
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,18,0.4971751412429379,0.4971751412429379
1,LSTM,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,36,0.5209580838323353,0.5269461077844312
1,LSTM,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,24,0.5269461077844312,0.5389221556886228
1,LSTM,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,24,0.5029940119760479,0.5149700598802395
1,LSTM,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,18,0.49101796407185627,0.49700598802395207
1,LSTM,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,37,0.5269461077844312,0.5389221556886228
1,LSTM,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,35,0.5095541401273885,0.5222929936305732
1,LSTM,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY nikkei BB_one_hot_neutral,29,0.5031847133757962,0.5031847133757962
