day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY nikkei DOW30 NASDAQ treasury_10 RSI,19,0.5251141552511416,0.5251141552511416
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY nikkei DOW30 NASDAQ treasury_10 RSI,8,0.5205479452054794,0.5296803652968036
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY nikkei DOW30 NASDAQ treasury_10 RSI,8,0.5068493150684932,0.5159817351598174
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY nikkei DOW30 NASDAQ treasury_10 RSI,5,0.54337899543379,0.5525114155251142
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY nikkei DOW30 NASDAQ treasury_10 RSI,8,0.5159817351598174,0.5159817351598174
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY nikkei DOW30 NASDAQ treasury_10 RSI,52,0.46411483253588515,0.4688995215311005
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY nikkei DOW30 NASDAQ treasury_10 RSI,15,0.47368421052631576,0.48325358851674644
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY nikkei DOW30 NASDAQ treasury_10 RSI,15,0.5119617224880383,0.5215311004784688
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY nikkei DOW30 NASDAQ treasury_10 RSI,7,0.5167464114832536,0.5263157894736842
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY nikkei DOW30 NASDAQ treasury_10 RSI,12,0.48325358851674644,0.4880382775119617
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY nikkei DOW30 NASDAQ treasury_10 RSI,59,0.49246231155778897,0.5025125628140703
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY nikkei DOW30 NASDAQ treasury_10 RSI,22,0.507537688442211,0.5125628140703518
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY nikkei DOW30 NASDAQ treasury_10 RSI,16,0.49748743718592964,0.507537688442211
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY nikkei DOW30 NASDAQ treasury_10 RSI,13,0.46733668341708545,0.4723618090452261
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY nikkei DOW30 NASDAQ treasury_10 RSI,14,0.507537688442211,0.5125628140703518
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY nikkei DOW30 NASDAQ treasury_10 RSI,49,0.4973544973544973,0.5079365079365079
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY nikkei DOW30 NASDAQ treasury_10 RSI,21,0.5079365079365079,0.5185185185185185
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY nikkei DOW30 NASDAQ treasury_10 RSI,22,0.5132275132275133,0.5238095238095238
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY nikkei DOW30 NASDAQ treasury_10 RSI,16,0.5238095238095238,0.5343915343915344
