day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY nikkei,26,0.4669603524229075,0.4713656387665198
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY nikkei,24,0.4801762114537445,0.4845814977973568
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY nikkei,28,0.5022026431718062,0.5066079295154186
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY nikkei,25,0.4669603524229075,0.4713656387665198
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY nikkei,24,0.4889867841409692,0.4933920704845815
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY nikkei,32,0.511520737327189,0.5207373271889401
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY nikkei,27,0.5161290322580645,0.5253456221198156
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY nikkei,28,0.46543778801843316,0.4700460829493088
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY nikkei,31,0.5483870967741935,0.5576036866359447
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY nikkei,29,0.5161290322580645,0.5253456221198156
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY nikkei,38,0.463768115942029,0.47342995169082125
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY nikkei,32,0.5458937198067633,0.5507246376811594
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY nikkei,33,0.47342995169082125,0.4782608695652174
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY nikkei,38,0.46859903381642515,0.47342995169082125
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY nikkei,30,0.463768115942029,0.46859903381642515
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY nikkei,43,0.47715736040609136,0.48223350253807107
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY nikkei,37,0.5228426395939086,0.5329949238578681
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY nikkei,36,0.4720812182741117,0.4720812182741117
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY nikkei,42,0.5126903553299492,0.5228426395939086
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY nikkei,34,0.467005076142132,0.467005076142132
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY nikkei,47,0.5240641711229946,0.5347593582887701
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY nikkei,44,0.49732620320855614,0.49732620320855614
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY nikkei,40,0.49732620320855614,0.5026737967914439
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY nikkei,46,0.48663101604278075,0.4919786096256685
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY nikkei,46,0.48663101604278075,0.4919786096256685
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY nikkei,54,0.5310734463276836,0.5423728813559322
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY nikkei,49,0.4971751412429379,0.4971751412429379
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY nikkei,44,0.4858757062146893,0.4858757062146893
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY nikkei,45,0.5310734463276836,0.536723163841808
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY nikkei,55,0.5536723163841808,0.5649717514124294
