day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,9,0.4560669456066946,0.46443514644351463
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,6,0.5313807531380753,0.5397489539748954
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,5,0.5146443514644351,0.5230125523012552
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,5,0.46443514644351463,0.4686192468619247
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,5,0.5230125523012552,0.5313807531380753
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,11,0.4847161572052402,0.49344978165938863
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,10,0.5065502183406113,0.5109170305676856
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,15,0.5152838427947598,0.5240174672489083
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,8,0.48034934497816595,0.4847161572052402
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,8,0.519650655021834,0.5283842794759825
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,15,0.502283105022831,0.5114155251141552
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,13,0.4794520547945205,0.4840182648401826
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,12,0.5114155251141552,0.5205479452054794
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,10,0.4748858447488584,0.4794520547945205
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,11,0.5068493150684932,0.5159817351598174
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,19,0.49760765550239233,0.507177033492823
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,16,0.47368421052631576,0.4784688995215311
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,16,0.5119617224880383,0.5215311004784688
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,13,0.4784688995215311,0.4784688995215311
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,13,0.47368421052631576,0.47368421052631576
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,29,0.5025125628140703,0.5125628140703518
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,19,0.4824120603015075,0.48743718592964824
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,19,0.5175879396984925,0.5276381909547738
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,16,0.4723618090452261,0.4723618090452261
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,16,0.5276381909547738,0.5326633165829145
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,31,0.4973544973544973,0.5026455026455027
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,21,0.5132275132275133,0.5238095238095238
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,21,0.5132275132275133,0.5238095238095238
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,16,0.5132275132275133,0.5238095238095238
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,18,0.5132275132275133,0.5185185185185185
1,LSTM,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,36,0.4972067039106145,0.5083798882681564
1,LSTM,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,24,0.5251396648044693,0.5363128491620112
1,LSTM,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,24,0.5083798882681564,0.5195530726256983
1,LSTM,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,19,0.5139664804469274,0.5251396648044693
1,LSTM,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,22,0.5139664804469274,0.5251396648044693
1,LSTM,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,41,0.5207100591715976,0.5325443786982249
1,LSTM,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,27,0.514792899408284,0.5207100591715976
1,LSTM,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,28,0.5207100591715976,0.5266272189349113
1,LSTM,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,29,0.5207100591715976,0.5325443786982249
1,LSTM,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,26,0.5207100591715976,0.5325443786982249
1,LSTM,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,40,0.5157232704402516,0.5283018867924528
1,LSTM,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,33,0.49056603773584906,0.4968553459119497
1,LSTM,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,27,0.559748427672956,0.5660377358490566
1,LSTM,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,31,0.5345911949685535,0.5408805031446541
1,LSTM,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,27,0.4716981132075472,0.4716981132075472
1,LSTM,2009-3-10,2018-10-31,1000,100,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,56,0.5167785234899329,0.5234899328859061
1,LSTM,2009-3-10,2018-10-31,1000,200,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,38,0.5100671140939598,0.5100671140939598
1,LSTM,2009-3-10,2018-10-31,1000,300,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,31,0.5234899328859061,0.5234899328859061
1,LSTM,2009-3-10,2018-10-31,1000,400,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,35,0.4563758389261745,0.4563758389261745
1,LSTM,2009-3-10,2018-10-31,1000,500,USD_JPY_diff USD_JPY treasury_10 BB_one_hot_neutral,32,0.5234899328859061,0.5302013422818792
