day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff nikkei,14,0.5154185022026432,0.5286343612334802
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff nikkei,13,0.4933920704845815,0.4977973568281938
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff nikkei,13,0.4581497797356828,0.46255506607929514
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff nikkei,15,0.4845814977973568,0.4889867841409692
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff nikkei,15,0.4713656387665198,0.47577092511013214
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff nikkei,20,0.5023041474654378,0.511520737327189
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff nikkei,16,0.5161290322580645,0.5253456221198156
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff nikkei,16,0.4700460829493088,0.47465437788018433
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff nikkei,19,0.4976958525345622,0.5023041474654378
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff nikkei,17,0.5161290322580645,0.5253456221198156
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff nikkei,23,0.5120772946859904,0.5217391304347826
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff nikkei,20,0.4975845410628019,0.5072463768115942
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff nikkei,20,0.5169082125603864,0.5265700483091788
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff nikkei,24,0.463768115942029,0.46859903381642515
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff nikkei,18,0.45410628019323673,0.45893719806763283
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff nikkei,28,0.5177664974619289,0.5279187817258884
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff nikkei,24,0.5076142131979695,0.5177664974619289
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff nikkei,24,0.48223350253807107,0.48223350253807107
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff nikkei,29,0.5177664974619289,0.5279187817258884
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff nikkei,31,0.49746192893401014,0.5076142131979695
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff nikkei,34,0.5240641711229946,0.5347593582887701
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff nikkei,30,0.46524064171123,0.46524064171123
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff nikkei,27,0.5133689839572193,0.5187165775401069
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff nikkei,31,0.5240641711229946,0.5347593582887701
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff nikkei,33,0.46524064171123,0.46524064171123
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff nikkei,40,0.5310734463276836,0.5423728813559322
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff nikkei,35,0.4971751412429379,0.5028248587570622
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff nikkei,30,0.4915254237288136,0.4971751412429379
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff nikkei,31,0.480225988700565,0.4858757062146893
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff nikkei,38,0.5310734463276836,0.5423728813559322
1,LSTM,2009-3-10,2018-10-31,700,100,USD_JPY_diff nikkei,45,0.5209580838323353,0.5329341317365269
1,LSTM,2009-3-10,2018-10-31,700,200,USD_JPY_diff nikkei,39,0.49101796407185627,0.49700598802395207
1,LSTM,2009-3-10,2018-10-31,700,300,USD_JPY_diff nikkei,34,0.5089820359281437,0.5209580838323353
1,LSTM,2009-3-10,2018-10-31,700,400,USD_JPY_diff nikkei,41,0.5149700598802395,0.5209580838323353
1,LSTM,2009-3-10,2018-10-31,700,500,USD_JPY_diff nikkei,46,0.5209580838323353,0.5329341317365269
1,LSTM,2009-3-10,2018-10-31,800,100,USD_JPY_diff nikkei,46,0.5222929936305732,0.535031847133758
1,LSTM,2009-3-10,2018-10-31,800,200,USD_JPY_diff nikkei,40,0.5095541401273885,0.5222929936305732
1,LSTM,2009-3-10,2018-10-31,800,300,USD_JPY_diff nikkei,36,0.49044585987261147,0.4968152866242038
1,LSTM,2009-3-10,2018-10-31,800,400,USD_JPY_diff nikkei,37,0.5286624203821656,0.5414012738853503
1,LSTM,2009-3-10,2018-10-31,800,500,USD_JPY_diff nikkei,50,0.5159235668789809,0.5286624203821656
1,LSTM,2009-3-10,2018-10-31,900,100,USD_JPY_diff nikkei,57,0.5374149659863946,0.54421768707483
1,LSTM,2009-3-10,2018-10-31,900,200,USD_JPY_diff nikkei,44,0.5374149659863946,0.54421768707483
1,LSTM,2009-3-10,2018-10-31,900,300,USD_JPY_diff nikkei,44,0.4965986394557823,0.4965986394557823
1,LSTM,2009-3-10,2018-10-31,900,400,USD_JPY_diff nikkei,42,0.46938775510204084,0.46938775510204084
1,LSTM,2009-3-10,2018-10-31,900,500,USD_JPY_diff nikkei,65,0.5374149659863946,0.54421768707483
1,LSTM,2009-3-10,2018-10-31,1000,100,USD_JPY_diff nikkei,63,0.5328467153284672,0.5401459854014599
1,LSTM,2009-3-10,2018-10-31,1000,200,USD_JPY_diff nikkei,48,0.5328467153284672,0.5401459854014599
1,LSTM,2009-3-10,2018-10-31,1000,300,USD_JPY_diff nikkei,51,0.5036496350364964,0.5036496350364964
1,LSTM,2009-3-10,2018-10-31,1000,400,USD_JPY_diff nikkei,47,0.5036496350364964,0.5036496350364964
1,LSTM,2009-3-10,2018-10-31,1000,500,USD_JPY_diff nikkei,61,0.48175182481751827,0.48175182481751827
