day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,LSTM,2009-3-10,2018-10-31,100,100,USD_JPY_diff treasury_10,8,0.5146443514644351,0.5230125523012552
1,LSTM,2009-3-10,2018-10-31,100,200,USD_JPY_diff treasury_10,5,0.5146443514644351,0.5230125523012552
1,LSTM,2009-3-10,2018-10-31,100,300,USD_JPY_diff treasury_10,8,0.4811715481171548,0.48535564853556484
1,LSTM,2009-3-10,2018-10-31,100,400,USD_JPY_diff treasury_10,5,0.5062761506276151,0.5104602510460251
1,LSTM,2009-3-10,2018-10-31,100,500,USD_JPY_diff treasury_10,7,0.5146443514644351,0.5230125523012552
1,LSTM,2009-3-10,2018-10-31,200,100,USD_JPY_diff treasury_10,11,0.5065502183406113,0.5152838427947598
1,LSTM,2009-3-10,2018-10-31,200,200,USD_JPY_diff treasury_10,10,0.519650655021834,0.5283842794759825
1,LSTM,2009-3-10,2018-10-31,200,300,USD_JPY_diff treasury_10,10,0.48034934497816595,0.4847161572052402
1,LSTM,2009-3-10,2018-10-31,200,400,USD_JPY_diff treasury_10,8,0.48034934497816595,0.4847161572052402
1,LSTM,2009-3-10,2018-10-31,200,500,USD_JPY_diff treasury_10,8,0.5065502183406113,0.5152838427947598
1,LSTM,2009-3-10,2018-10-31,300,100,USD_JPY_diff treasury_10,18,0.4703196347031963,0.4748858447488584
1,LSTM,2009-3-10,2018-10-31,300,200,USD_JPY_diff treasury_10,12,0.4931506849315068,0.4977168949771689
1,LSTM,2009-3-10,2018-10-31,300,300,USD_JPY_diff treasury_10,12,0.4748858447488584,0.4794520547945205
1,LSTM,2009-3-10,2018-10-31,300,400,USD_JPY_diff treasury_10,10,0.5114155251141552,0.5205479452054794
1,LSTM,2009-3-10,2018-10-31,300,500,USD_JPY_diff treasury_10,18,0.5068493150684932,0.5159817351598174
1,LSTM,2009-3-10,2018-10-31,400,100,USD_JPY_diff treasury_10,24,0.5023923444976076,0.5119617224880383
1,LSTM,2009-3-10,2018-10-31,400,200,USD_JPY_diff treasury_10,16,0.5023923444976076,0.5023923444976076
1,LSTM,2009-3-10,2018-10-31,400,300,USD_JPY_diff treasury_10,17,0.507177033492823,0.5167464114832536
1,LSTM,2009-3-10,2018-10-31,400,400,USD_JPY_diff treasury_10,13,0.48325358851674644,0.48325358851674644
1,LSTM,2009-3-10,2018-10-31,400,500,USD_JPY_diff treasury_10,14,0.49282296650717705,0.49282296650717705
1,LSTM,2009-3-10,2018-10-31,500,100,USD_JPY_diff treasury_10,30,0.5125628140703518,0.5226130653266332
1,LSTM,2009-3-10,2018-10-31,500,200,USD_JPY_diff treasury_10,20,0.5226130653266332,0.5276381909547738
1,LSTM,2009-3-10,2018-10-31,500,300,USD_JPY_diff treasury_10,21,0.5175879396984925,0.5276381909547738
1,LSTM,2009-3-10,2018-10-31,500,400,USD_JPY_diff treasury_10,26,0.5175879396984925,0.5276381909547738
1,LSTM,2009-3-10,2018-10-31,500,500,USD_JPY_diff treasury_10,17,0.5175879396984925,0.5276381909547738
1,LSTM,2009-3-10,2018-10-31,600,100,USD_JPY_diff treasury_10,32,0.5132275132275133,0.5238095238095238
1,LSTM,2009-3-10,2018-10-31,600,200,USD_JPY_diff treasury_10,27,0.5132275132275133,0.5238095238095238
1,LSTM,2009-3-10,2018-10-31,600,300,USD_JPY_diff treasury_10,22,0.5079365079365079,0.5185185185185185
1,LSTM,2009-3-10,2018-10-31,600,400,USD_JPY_diff treasury_10,34,0.5079365079365079,0.5185185185185185
1,LSTM,2009-3-10,2018-10-31,600,500,USD_JPY_diff treasury_10,18,0.5555555555555556,0.5661375661375662
