day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY DOW30,92,0.5085470085470085,0.5128205128205128
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY DOW30,6,0.2777777777777778,0.49145299145299143
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY DOW30,68,0.5,0.5042735042735043
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY DOW30,10,0.34615384615384615,0.46153846153846156
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY DOW30,4,0.25213675213675213,0.49145299145299143
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY DOW30,41,0.4107142857142857,0.5044642857142857
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY DOW30,14,0.29464285714285715,0.4955357142857143
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY DOW30,8,0.25892857142857145,0.45535714285714285
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY DOW30,27,0.38839285714285715,0.4955357142857143
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY DOW30,6,0.26339285714285715,0.5
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY DOW30,201,0.46261682242990654,0.46261682242990654
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY DOW30,199,0.40654205607476634,0.411214953271028
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY DOW30,5,0.009345794392523364,0.5186915887850467
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY DOW30,5,0.009345794392523364,0.5186915887850467
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY DOW30,42,0.3925233644859813,0.4532710280373832
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY DOW30,187,0.47058823529411764,0.47058823529411764
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY DOW30,193,0.4852941176470588,0.4852941176470588
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY DOW30,6,0.00980392156862745,0.5196078431372549
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY DOW30,7,0.00980392156862745,0.5196078431372549
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY DOW30,69,0.4117647058823529,0.47549019607843135
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY DOW30,43,0.3556701030927835,0.4948453608247423
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY DOW30,23,0.29896907216494845,0.5257731958762887
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY DOW30,8,0.010309278350515464,0.5257731958762887
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY DOW30,8,0.010309278350515464,0.5257731958762887
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY DOW30,37,0.35051546391752575,0.5051546391752577
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY DOW30,30,0.31521739130434784,0.45652173913043476
1,RNN,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY DOW30,76,0.40217391304347827,0.5
1,RNN,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY DOW30,8,0.010869565217391304,0.5271739130434783
1,RNN,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY DOW30,8,0.010869565217391304,0.5271739130434783
1,RNN,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY DOW30,15,0.266304347826087,0.5271739130434783
1,RNN,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY DOW30,213,0.45977011494252873,0.46551724137931033
1,RNN,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY DOW30,102,0.41379310344827586,0.4425287356321839
1,RNN,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY DOW30,10,0.011494252873563218,0.5287356321839081
1,RNN,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY DOW30,10,0.011494252873563218,0.5287356321839081
1,RNN,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY DOW30,9,0.29310344827586204,0.4827586206896552
1,RNN,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY DOW30,54,0.3231707317073171,0.4878048780487805
1,RNN,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY DOW30,41,0.3170731707317073,0.5121951219512195
1,RNN,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY DOW30,11,0.012195121951219513,0.5304878048780488
1,RNN,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY DOW30,11,0.012195121951219513,0.5304878048780488
1,RNN,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY DOW30,11,0.27439024390243905,0.4634146341463415
1,RNN,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY DOW30,36,0.2857142857142857,0.474025974025974
1,RNN,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY DOW30,58,0.3246753246753247,0.525974025974026
1,RNN,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY DOW30,11,0.012987012987012988,0.538961038961039
1,RNN,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY DOW30,10,0.012987012987012988,0.538961038961039
