day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot,14,0.4794520547945205,0.4885844748858447
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot,6,0.4748858447488584,0.4840182648401826
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot,6,0.4931506849315068,0.4977168949771689
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot,8,0.45662100456621,0.4611872146118721
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot,6,0.4840182648401826,0.4840182648401826
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot,23,0.5263157894736842,0.5358851674641149
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot,19,0.5119617224880383,0.5119617224880383
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot,16,0.48325358851674644,0.48325358851674644
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot,11,0.4880382775119617,0.49282296650717705
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot,11,0.4784688995215311,0.48325358851674644
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot,37,0.4623115577889447,0.4723618090452261
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot,33,0.457286432160804,0.4623115577889447
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_JPY EUR_USD nikkei TOPIX DOW30 NASDAQ treasury_10 SMA_5 BB_one_hot_neutral RSI_one_hot,28,0.5025125628140703,0.507537688442211
