day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,36,0.4611872146118721,0.4611872146118721
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,5,0.4337899543378995,0.5114155251141552
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,5,0.3287671232876712,0.5159817351598174
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,6,0.3972602739726027,0.5251141552511416
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,2,0.3515981735159817,0.5296803652968036
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,35,0.46411483253588515,0.46411483253588515
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,11,0.3923444976076555,0.5119617224880383
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,10,0.31100478468899523,0.4880382775119617
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,11,0.3827751196172249,0.5311004784688995
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,4,0.28708133971291866,0.5263157894736842
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,7,0.33668341708542715,0.457286432160804
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,7,0.2964824120603015,0.49246231155778897
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,13,0.3065326633165829,0.47738693467336685
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,5,0.2964824120603015,0.4723618090452261
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,8,0.24120603015075376,0.49748743718592964
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,8,0.31746031746031744,0.4656084656084656
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,5,0.2275132275132275,0.49206349206349204
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,4,0.3333333333333333,0.49206349206349204
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,6,0.31216931216931215,0.5238095238095238
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,5,0.2222222222222222,0.48677248677248675
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,10,0.3743016759776536,0.5139664804469274
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,11,0.29608938547486036,0.5307262569832403
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,20,0.3016759776536313,0.4860335195530726
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,7,0.3128491620111732,0.5083798882681564
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,18,0.3240223463687151,0.4581005586592179
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,11,0.3254437869822485,0.5029585798816568
1,RNN,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,29,0.3727810650887574,0.4911242603550296
1,RNN,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,6,0.33727810650887574,0.5088757396449705
1,RNN,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,10,0.378698224852071,0.5502958579881657
1,RNN,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,17,0.2958579881656805,0.4437869822485207
1,RNN,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,13,0.34591194968553457,0.5283018867924528
1,RNN,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,16,0.27672955974842767,0.5345911949685535
1,RNN,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,7,0.2641509433962264,0.4968553459119497
1,RNN,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,29,0.34591194968553457,0.5534591194968553
1,RNN,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,7,0.27044025157232704,0.5031446540880503
1,RNN,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,13,0.31543624161073824,0.46308724832214765
1,RNN,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,15,0.2684563758389262,0.5369127516778524
1,RNN,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,7,0.3087248322147651,0.5033557046979866
1,RNN,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,23,0.3087248322147651,0.4966442953020134
1,RNN,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,16,0.28187919463087246,0.46308724832214765
1,RNN,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,15,0.2949640287769784,0.45323741007194246
1,RNN,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,10,0.2517985611510791,0.5539568345323741
1,RNN,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,8,0.2949640287769784,0.4892086330935252
1,RNN,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,32,0.35251798561151076,0.49640287769784175
1,RNN,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,8,0.302158273381295,0.5179856115107914
1,RNN,2009-3-10,2018-10-31,1000,100,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,112,0.46511627906976744,0.4883720930232558
1,RNN,2009-3-10,2018-10-31,1000,200,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,11,0.21705426356589147,0.5426356589147286
1,RNN,2009-3-10,2018-10-31,1000,300,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,8,0.23255813953488372,0.4573643410852713
1,RNN,2009-3-10,2018-10-31,1000,400,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,22,0.3488372093023256,0.5658914728682171
1,RNN,2009-3-10,2018-10-31,1000,500,USD_JPY_diff USD_JPY EUR_JPY TOPIX DOW30,9,0.24806201550387597,0.4728682170542636
