day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_JPY,49,0.5062240663900415,0.5062240663900415
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_JPY,9,0.44398340248962653,0.48132780082987553
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_JPY,19,0.4854771784232365,0.4854771784232365
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_JPY,11,0.42738589211618255,0.44398340248962653
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_JPY,16,0.5560165975103735,0.5601659751037344
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_JPY,78,0.5021645021645021,0.5064935064935064
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_JPY,25,0.48917748917748916,0.4935064935064935
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_JPY,37,0.5324675324675324,0.5367965367965368
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_JPY,5,0.2987012987012987,0.5194805194805194
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_JPY,16,0.4069264069264069,0.47186147186147187
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_JPY,116,0.47058823529411764,0.4751131221719457
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_JPY,33,0.4660633484162896,0.4660633484162896
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_JPY,3,0.00904977375565611,0.5113122171945701
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY EUR_JPY,4,0.00904977375565611,0.5113122171945701
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY EUR_JPY,19,0.49321266968325794,0.5158371040723982
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY EUR_JPY,152,0.5308056872037915,0.5355450236966824
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY EUR_JPY,52,0.46919431279620855,0.47393364928909953
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY EUR_JPY,4,0.009478672985781991,0.5118483412322274
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY EUR_JPY,5,0.009478672985781991,0.5118483412322274
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY EUR_JPY,27,0.4881516587677725,0.4976303317535545
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY EUR_JPY,29,0.3781094527363184,0.47761194029850745
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY EUR_JPY,71,0.4527363184079602,0.4527363184079602
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY EUR_JPY,5,0.009950248756218905,0.5223880597014925
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY EUR_JPY,6,0.009950248756218905,0.5223880597014925
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY EUR_JPY,33,0.5074626865671642,0.5422885572139303
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY EUR_JPY,224,0.5026178010471204,0.5026178010471204
1,RNN,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY EUR_JPY,57,0.418848167539267,0.4869109947643979
1,RNN,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY EUR_JPY,6,0.010471204188481676,0.518324607329843
1,RNN,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY EUR_JPY,7,0.010471204188481676,0.518324607329843
1,RNN,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY EUR_JPY,19,0.34554973821989526,0.518324607329843
1,RNN,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY EUR_JPY,225,0.49171270718232046,0.4972375690607735
1,RNN,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY EUR_JPY,225,0.56353591160221,0.56353591160221
1,RNN,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY EUR_JPY,7,0.011049723756906077,0.5248618784530387
1,RNN,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY EUR_JPY,7,0.011049723756906077,0.5248618784530387
1,RNN,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY EUR_JPY,56,0.48066298342541436,0.49171270718232046
1,RNN,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY EUR_JPY,256,0.4678362573099415,0.4678362573099415
1,RNN,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY EUR_JPY,256,0.5087719298245614,0.5146198830409356
1,RNN,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY EUR_JPY,8,0.011695906432748537,0.5263157894736842
1,RNN,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY EUR_JPY,8,0.011695906432748537,0.5263157894736842
1,RNN,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY EUR_JPY,38,0.43859649122807015,0.47953216374269003
1,RNN,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY EUR_JPY,287,0.4658385093167702,0.4720496894409938
1,RNN,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY EUR_JPY,285,0.484472049689441,0.4906832298136646
1,RNN,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY EUR_JPY,8,0.012422360248447204,0.5217391304347826
1,RNN,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY EUR_JPY,9,0.012422360248447204,0.5217391304347826
1,RNN,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY EUR_JPY,302,0.4409937888198758,0.4409937888198758
