day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,23,0.4657534246575342,0.4703196347031963
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,18,0.4429223744292237,0.4429223744292237
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,12,0.4840182648401826,0.4885844748858447
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,6,0.4474885844748858,0.5342465753424658
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,24,0.4840182648401826,0.4885844748858447
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,28,0.44976076555023925,0.46411483253588515
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,21,0.4354066985645933,0.4880382775119617
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,3,0.3444976076555024,0.4880382775119617
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,29,0.48325358851674644,0.5023923444976076
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,21,0.37320574162679426,0.4449760765550239
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,8,0.35175879396984927,0.49246231155778897
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,19,0.39195979899497485,0.48743718592964824
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,5,0.34673366834170855,0.5125628140703518
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,15,0.38190954773869346,0.49748743718592964
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,40,0.39195979899497485,0.4020100502512563
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,9,0.328042328042328,0.5238095238095238
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,36,0.41798941798941797,0.48677248677248675
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,5,0.37037037037037035,0.544973544973545
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,23,0.3386243386243386,0.48148148148148145
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,13,0.291005291005291,0.5132275132275133
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,12,0.31843575418994413,0.4972067039106145
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,25,0.39664804469273746,0.5083798882681564
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,7,0.3128491620111732,0.5083798882681564
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,12,0.3854748603351955,0.5363128491620112
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,16,0.3016759776536313,0.5251396648044693
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,14,0.3136094674556213,0.5029585798816568
1,RNN,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,23,0.33136094674556216,0.5266272189349113
1,RNN,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,19,0.33136094674556216,0.5266272189349113
1,RNN,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,26,0.4260355029585799,0.4970414201183432
1,RNN,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,46,0.4437869822485207,0.48520710059171596
1,RNN,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,18,0.29559748427672955,0.49056603773584906
1,RNN,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,17,0.31446540880503143,0.5220125786163522
1,RNN,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,8,0.3270440251572327,0.5408805031446541
1,RNN,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,37,0.4025157232704403,0.5094339622641509
1,RNN,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,33,0.34591194968553457,0.5220125786163522
1,RNN,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,14,0.2684563758389262,0.436241610738255
1,RNN,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,27,0.30201342281879195,0.5033557046979866
1,RNN,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,8,0.3288590604026846,0.5167785234899329
1,RNN,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,20,0.3691275167785235,0.5503355704697986
1,RNN,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,29,0.31543624161073824,0.5234899328859061
1,RNN,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,19,0.302158273381295,0.4676258992805755
1,RNN,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,11,0.2517985611510791,0.539568345323741
1,RNN,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,9,0.34532374100719426,0.5179856115107914
1,RNN,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,34,0.3669064748201439,0.5467625899280576
1,RNN,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,97,0.41007194244604317,0.4676258992805755
1,RNN,2009-3-10,2018-10-31,1000,100,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,21,0.2713178294573643,0.4573643410852713
1,RNN,2009-3-10,2018-10-31,1000,200,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,12,0.23255813953488372,0.5426356589147286
1,RNN,2009-3-10,2018-10-31,1000,300,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,10,0.26356589147286824,0.49612403100775193
1,RNN,2009-3-10,2018-10-31,1000,400,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,18,0.3643410852713178,0.5271317829457365
1,RNN,2009-3-10,2018-10-31,1000,500,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30 BB_one_hot_neutral,13,0.24031007751937986,0.46511627906976744
