day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,32,0.5159817351598174,0.5205479452054794
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,23,0.4703196347031963,0.4748858447488584
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,5,0.3333333333333333,0.4748858447488584
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,6,0.4292237442922374,0.54337899543379
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,2,0.3105022831050228,0.5251141552511416
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,35,0.4688995215311005,0.4688995215311005
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,7,0.33014354066985646,0.49760765550239233
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,6,0.31100478468899523,0.5215311004784688
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,4,0.31100478468899523,0.5263157894736842
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,4,0.32057416267942584,0.5167464114832536
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,7,0.3417085427135678,0.47738693467336685
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,15,0.35175879396984927,0.47738693467336685
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,13,0.35175879396984927,0.49246231155778897
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,5,0.2914572864321608,0.5175879396984925
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,11,0.31155778894472363,0.507537688442211
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,8,0.31746031746031744,0.4708994708994709
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,5,0.2328042328042328,0.4973544973544973
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,4,0.30687830687830686,0.48148148148148145
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,6,0.3492063492063492,0.5502645502645502
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,5,0.21164021164021163,0.47619047619047616
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,8,0.29608938547486036,0.46368715083798884
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,11,0.2905027932960894,0.547486033519553
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,20,0.2905027932960894,0.48044692737430167
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,7,0.3128491620111732,0.49162011173184356
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,18,0.35195530726256985,0.5251396648044693
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY EUR_USD TOPIX DOW30,11,0.3136094674556213,0.5029585798816568
