day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_USD TOPIX,45,0.44052863436123346,0.44493392070484583
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_USD TOPIX,8,0.47577092511013214,0.4977973568281938
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_USD TOPIX,14,0.4845814977973568,0.5022026431718062
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_USD TOPIX,11,0.4801762114537445,0.4845814977973568
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_USD TOPIX,13,0.4581497797356828,0.4801762114537445
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_USD TOPIX,76,0.5207373271889401,0.5253456221198156
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_USD TOPIX,30,0.45622119815668205,0.4700460829493088
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_USD TOPIX,27,0.4608294930875576,0.4700460829493088
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_USD TOPIX,15,0.42857142857142855,0.4423963133640553
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_USD TOPIX,3,0.24423963133640553,0.45622119815668205
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_USD TOPIX,113,0.4782608695652174,0.4830917874396135
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_USD TOPIX,47,0.5120772946859904,0.5265700483091788
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_USD TOPIX,35,0.5072463768115942,0.5169082125603864
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY EUR_USD TOPIX,21,0.4396135265700483,0.5120772946859904
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY EUR_USD TOPIX,17,0.4251207729468599,0.5314009661835749
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY EUR_USD TOPIX,116,0.5076142131979695,0.5126903553299492
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY EUR_USD TOPIX,121,0.5126903553299492,0.5126903553299492
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY EUR_USD TOPIX,40,0.5583756345177665,0.5736040609137056
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY EUR_USD TOPIX,29,0.3604060913705584,0.467005076142132
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY EUR_USD TOPIX,26,0.41624365482233505,0.5025380710659898
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY EUR_USD TOPIX,160,0.4919786096256685,0.49732620320855614
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY EUR_USD TOPIX,62,0.46524064171123,0.48128342245989303
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY EUR_USD TOPIX,54,0.5133689839572193,0.5187165775401069
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY EUR_USD TOPIX,41,0.46524064171123,0.5080213903743316
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY EUR_USD TOPIX,39,0.39572192513368987,0.48128342245989303
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY EUR_USD TOPIX,170,0.5141242937853108,0.519774011299435
1,RNN,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY EUR_USD TOPIX,16,0.24858757062146894,0.5141242937853108
1,RNN,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY EUR_USD TOPIX,88,0.4576271186440678,0.4689265536723164
1,RNN,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY EUR_USD TOPIX,18,0.3954802259887006,0.576271186440678
1,RNN,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY EUR_USD TOPIX,48,0.3220338983050847,0.5254237288135594
1,RNN,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY EUR_USD TOPIX,224,0.5389221556886228,0.5449101796407185
1,RNN,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY EUR_USD TOPIX,62,0.41317365269461076,0.47904191616766467
1,RNN,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY EUR_USD TOPIX,36,0.4491017964071856,0.5389221556886228
1,RNN,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY EUR_USD TOPIX,54,0.41317365269461076,0.4491017964071856
1,RNN,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY EUR_USD TOPIX,30,0.31137724550898205,0.5149700598802395
1,RNN,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY EUR_USD TOPIX,175,0.4585987261146497,0.46496815286624205
1,RNN,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY EUR_USD TOPIX,74,0.40764331210191085,0.45222929936305734
1,RNN,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY EUR_USD TOPIX,218,0.49044585987261147,0.4968152866242038
1,RNN,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY EUR_USD TOPIX,28,0.3248407643312102,0.5477707006369427
1,RNN,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY EUR_USD TOPIX,236,0.45222929936305734,0.4585987261146497
1,RNN,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY EUR_USD TOPIX,247,0.5034013605442177,0.5034013605442177
1,RNN,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY EUR_USD TOPIX,248,0.4421768707482993,0.4421768707482993
1,RNN,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY EUR_USD TOPIX,249,0.46258503401360546,0.46258503401360546
1,RNN,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY EUR_USD TOPIX,252,0.4557823129251701,0.4557823129251701
1,RNN,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY EUR_USD TOPIX,229,0.46258503401360546,0.46258503401360546
1,RNN,2009-3-10,2018-10-31,1000,100,USD_JPY_diff USD_JPY EUR_USD TOPIX,270,0.4744525547445255,0.4744525547445255
1,RNN,2009-3-10,2018-10-31,1000,200,USD_JPY_diff USD_JPY EUR_USD TOPIX,271,0.44525547445255476,0.44525547445255476
1,RNN,2009-3-10,2018-10-31,1000,300,USD_JPY_diff USD_JPY EUR_USD TOPIX,271,0.48905109489051096,0.48905109489051096
1,RNN,2009-3-10,2018-10-31,1000,400,USD_JPY_diff USD_JPY EUR_USD TOPIX,274,0.43795620437956206,0.43795620437956206
1,RNN,2009-3-10,2018-10-31,1000,500,USD_JPY_diff USD_JPY EUR_USD TOPIX,284,0.5036496350364964,0.5036496350364964
