day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY EUR_USD,31,0.4730290456431535,0.47717842323651455
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY EUR_USD,10,0.46473029045643155,0.46887966804979253
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY EUR_USD,20,0.4605809128630705,0.46473029045643155
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY EUR_USD,3,0.3775933609958506,0.5684647302904564
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY EUR_USD,15,0.44813278008298757,0.45643153526970953
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY EUR_USD,9,0.3593073593073593,0.47186147186147187
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY EUR_USD,17,0.5454545454545454,0.5541125541125541
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY EUR_USD,22,0.5151515151515151,0.5194805194805194
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY EUR_USD,12,0.4458874458874459,0.5238095238095238
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY EUR_USD,13,0.42857142857142855,0.4805194805194805
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY EUR_USD,18,0.36199095022624433,0.43891402714932126
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY EUR_USD,5,0.24434389140271492,0.5248868778280543
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY EUR_USD,3,0.00904977375565611,0.5113122171945701
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY EUR_USD,4,0.00904977375565611,0.5113122171945701
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY EUR_USD,13,0.3891402714932127,0.5113122171945701
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY EUR_USD,145,0.4549763033175355,0.4597156398104265
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY EUR_USD,53,0.5402843601895735,0.5450236966824644
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY EUR_USD,4,0.009478672985781991,0.5118483412322274
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY EUR_USD,5,0.009478672985781991,0.5118483412322274
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY EUR_USD,5,0.24644549763033174,0.47393364928909953
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY EUR_USD,76,0.4925373134328358,0.4925373134328358
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY EUR_USD,54,0.47761194029850745,0.5024875621890548
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY EUR_USD,5,0.009950248756218905,0.5223880597014925
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY EUR_USD,5,0.009950248756218905,0.5223880597014925
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY EUR_USD,30,0.4577114427860697,0.46766169154228854
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY EUR_USD,31,0.34554973821989526,0.4712041884816754
