day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY NASDAQ,49,0.45726495726495725,0.46153846153846156
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY NASDAQ,29,0.4658119658119658,0.4700854700854701
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY NASDAQ,10,0.3803418803418803,0.49145299145299143
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY NASDAQ,13,0.4230769230769231,0.48717948717948717
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY NASDAQ,10,0.41025641025641024,0.48717948717948717
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY NASDAQ,72,0.5133928571428571,0.5178571428571429
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY NASDAQ,21,0.3705357142857143,0.42857142857142855
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY NASDAQ,19,0.4375,0.49107142857142855
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY NASDAQ,14,0.3080357142857143,0.48214285714285715
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY NASDAQ,21,0.4107142857142857,0.4375
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY NASDAQ,3,0.009345794392523364,0.5186915887850467
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY NASDAQ,3,0.009345794392523364,0.5186915887850467
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY NASDAQ,41,0.42990654205607476,0.43457943925233644
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY NASDAQ,4,0.009345794392523364,0.5186915887850467
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY NASDAQ,22,0.4485981308411215,0.48130841121495327
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY NASDAQ,4,0.00980392156862745,0.5196078431372549
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY NASDAQ,4,0.00980392156862745,0.5196078431372549
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY NASDAQ,31,0.4264705882352941,0.4803921568627451
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY NASDAQ,5,0.00980392156862745,0.5196078431372549
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY NASDAQ,18,0.4019607843137255,0.5343137254901961
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY NASDAQ,5,0.010309278350515464,0.5257731958762887
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY NASDAQ,5,0.010309278350515464,0.5257731958762887
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY NASDAQ,36,0.4072164948453608,0.5051546391752577
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY NASDAQ,5,0.010309278350515464,0.5257731958762887
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY NASDAQ,27,0.41237113402061853,0.5360824742268041
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY NASDAQ,6,0.010869565217391304,0.5271739130434783
1,RNN,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY NASDAQ,6,0.010869565217391304,0.5271739130434783
1,RNN,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY NASDAQ,55,0.391304347826087,0.47282608695652173
1,RNN,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY NASDAQ,6,0.010869565217391304,0.5271739130434783
1,RNN,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY NASDAQ,29,0.375,0.43478260869565216
1,RNN,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY NASDAQ,6,0.011494252873563218,0.5287356321839081
1,RNN,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY NASDAQ,7,0.011494252873563218,0.5287356321839081
1,RNN,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY NASDAQ,50,0.40229885057471265,0.4827586206896552
1,RNN,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY NASDAQ,7,0.011494252873563218,0.5287356321839081
1,RNN,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY NASDAQ,59,0.42528735632183906,0.4425287356321839
