day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY RSI_one_hot,13,0.46887966804979253,0.4730290456431535
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY RSI_one_hot,9,0.5435684647302904,0.5477178423236515
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY RSI_one_hot,7,0.5062240663900415,0.5062240663900415
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY RSI_one_hot,6,0.46887966804979253,0.4730290456431535
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY RSI_one_hot,5,0.5269709543568465,0.5352697095435685
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY RSI_one_hot,17,0.44155844155844154,0.4458874458874459
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY RSI_one_hot,23,0.44155844155844154,0.44155844155844154
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY RSI_one_hot,9,0.5064935064935064,0.5108225108225108
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY RSI_one_hot,8,0.47186147186147187,0.48484848484848486
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY RSI_one_hot,6,0.4458874458874459,0.45454545454545453
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY RSI_one_hot,28,0.4796380090497738,0.4841628959276018
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY RSI_one_hot,3,0.00904977375565611,0.5113122171945701
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY RSI_one_hot,3,0.00904977375565611,0.5113122171945701
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY RSI_one_hot,4,0.00904977375565611,0.5113122171945701
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY RSI_one_hot,4,0.00904977375565611,0.5113122171945701
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY RSI_one_hot,40,0.4549763033175355,0.4597156398104265
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY RSI_one_hot,4,0.009478672985781991,0.5118483412322274
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY RSI_one_hot,4,0.009478672985781991,0.5118483412322274
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY RSI_one_hot,5,0.009478672985781991,0.5118483412322274
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY RSI_one_hot,5,0.009478672985781991,0.5118483412322274
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY RSI_one_hot,76,0.48756218905472637,0.48756218905472637
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY RSI_one_hot,5,0.009950248756218905,0.5223880597014925
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY RSI_one_hot,5,0.009950248756218905,0.5223880597014925
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY RSI_one_hot,5,0.009950248756218905,0.5223880597014925
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY RSI_one_hot,6,0.009950248756218905,0.5223880597014925
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY RSI_one_hot,101,0.44502617801047123,0.44502617801047123
1,RNN,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY RSI_one_hot,6,0.010471204188481676,0.518324607329843
1,RNN,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY RSI_one_hot,6,0.010471204188481676,0.518324607329843
1,RNN,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY RSI_one_hot,6,0.010471204188481676,0.518324607329843
1,RNN,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY RSI_one_hot,6,0.010471204188481676,0.518324607329843
1,RNN,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY RSI_one_hot,59,0.4696132596685083,0.4696132596685083
1,RNN,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY RSI_one_hot,7,0.011049723756906077,0.5248618784530387
1,RNN,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY RSI_one_hot,6,0.011049723756906077,0.5248618784530387
1,RNN,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY RSI_one_hot,7,0.011049723756906077,0.5248618784530387
1,RNN,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY RSI_one_hot,7,0.011049723756906077,0.5248618784530387
1,RNN,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY RSI_one_hot,147,0.5146198830409356,0.5146198830409356
1,RNN,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY RSI_one_hot,7,0.011695906432748537,0.5263157894736842
