day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,15,0.4933920704845815,0.4977973568281938
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,8,0.47577092511013214,0.4801762114537445
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,10,0.4933920704845815,0.4933920704845815
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,16,0.5550660792951542,0.5594713656387665
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,11,0.4933920704845815,0.4977973568281938
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,64,0.42857142857142855,0.43317972350230416
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,31,0.5622119815668203,0.5714285714285714
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,24,0.47465437788018433,0.4838709677419355
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,27,0.4930875576036866,0.5069124423963134
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,21,0.511520737327189,0.5161290322580645
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,51,0.47342995169082125,0.4830917874396135
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,54,0.4830917874396135,0.4927536231884058
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,28,0.48792270531400966,0.4927536231884058
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,6,0.00966183574879227,0.5217391304347826
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,31,0.5072463768115942,0.5169082125603864
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,86,0.48223350253807107,0.4873096446700508
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,30,0.5126903553299492,0.5228426395939086
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,40,0.5076142131979695,0.5177664974619289
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,7,0.01015228426395939,0.5329949238578681
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,33,0.5329949238578681,0.5380710659898477
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,173,0.5508021390374331,0.5561497326203209
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,42,0.5508021390374331,0.5561497326203209
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,56,0.47058823529411764,0.48128342245989303
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,8,0.0106951871657754,0.5401069518716578
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,47,0.5240641711229946,0.5240641711229946
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,152,0.4858757062146893,0.4915254237288136
1,RNN,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,71,0.4858757062146893,0.4915254237288136
1,RNN,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,48,0.5141242937853108,0.5254237288135594
1,RNN,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,10,0.011299435028248588,0.5423728813559322
1,RNN,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,84,0.4293785310734463,0.4293785310734463
1,RNN,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY TOPIX BB_one_hot_neutral,219,0.47305389221556887,0.47904191616766467
