day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,20,0.4703196347031963,0.4748858447488584
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,11,0.4429223744292237,0.4474885844748858
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,11,0.4657534246575342,0.4657534246575342
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,2,0.4383561643835616,0.5114155251141552
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,8,0.502283105022831,0.5159817351598174
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,33,0.4258373205741627,0.4354066985645933
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,20,0.4688995215311005,0.47368421052631576
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,17,0.507177033492823,0.507177033492823
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,13,0.44976076555023925,0.4784688995215311
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,23,0.47368421052631576,0.4784688995215311
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,31,0.46733668341708545,0.4824120603015075
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,3,0.20603015075376885,0.5276381909547738
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,24,0.4271356783919598,0.4321608040201005
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,17,0.47738693467336685,0.5025125628140703
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,17,0.4723618090452261,0.4824120603015075
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,43,0.4444444444444444,0.4708994708994709
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,4,0.2275132275132275,0.544973544973545
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,22,0.5026455026455027,0.5185185185185185
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,28,0.455026455026455,0.4656084656084656
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,24,0.48148148148148145,0.4973544973544973
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,66,0.4692737430167598,0.4748603351955307
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,5,0.2011173184357542,0.5586592178770949
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,13,0.36312849162011174,0.48044692737430167
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,26,0.441340782122905,0.46368715083798884
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,15,0.48044692737430167,0.5363128491620112
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,62,0.46745562130177515,0.47337278106508873
1,RNN,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,6,0.1834319526627219,0.5443786982248521
1,RNN,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,31,0.44970414201183434,0.48520710059171596
1,RNN,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,21,0.4437869822485207,0.514792899408284
1,RNN,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,17,0.4556213017751479,0.5207100591715976
1,RNN,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,38,0.3836477987421384,0.5408805031446541
1,RNN,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,7,0.18867924528301888,0.559748427672956
1,RNN,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,7,0.3018867924528302,0.5157232704402516
1,RNN,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,14,0.31446540880503143,0.49056603773584906
1,RNN,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,22,0.44025157232704404,0.5220125786163522
1,RNN,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,63,0.46308724832214765,0.4966442953020134
1,RNN,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,7,0.2080536912751678,0.5234899328859061
1,RNN,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,36,0.4429530201342282,0.48322147651006714
1,RNN,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,41,0.42953020134228187,0.4563758389261745
1,RNN,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,37,0.47651006711409394,0.5503355704697986
1,RNN,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,126,0.45323741007194246,0.45323741007194246
1,RNN,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,68,0.4892086330935252,0.5035971223021583
1,RNN,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,65,0.4676258992805755,0.4892086330935252
1,RNN,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,56,0.45323741007194246,0.45323741007194246
1,RNN,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,68,0.5467625899280576,0.5539568345323741
1,RNN,2009-3-10,2018-10-31,1000,100,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,91,0.43410852713178294,0.49612403100775193
1,RNN,2009-3-10,2018-10-31,1000,200,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,57,0.3875968992248062,0.5271317829457365
1,RNN,2009-3-10,2018-10-31,1000,300,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,57,0.4108527131782946,0.4883720930232558
1,RNN,2009-3-10,2018-10-31,1000,400,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,32,0.4263565891472868,0.5116279069767442
1,RNN,2009-3-10,2018-10-31,1000,500,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral RSI_one_hot,66,0.5193798449612403,0.5426356589147286
