day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,14,0.4611872146118721,0.4703196347031963
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,11,0.4885844748858447,0.4931506849315068
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,11,0.4429223744292237,0.4429223744292237
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,26,0.4611872146118721,0.4657534246575342
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,12,0.4063926940639269,0.4657534246575342
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,27,0.4688995215311005,0.47368421052631576
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,3,0.22009569377990432,0.5598086124401914
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,20,0.45933014354066987,0.49760765550239233
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,12,0.3827751196172249,0.5406698564593302
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,23,0.44976076555023925,0.507177033492823
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,46,0.49246231155778897,0.49748743718592964
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX DOW30 BB_one_hot_neutral,4,0.21105527638190955,0.5376884422110553
