day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,32,0.4794520547945205,0.4794520547945205
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,22,0.4474885844748858,0.4474885844748858
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,23,0.4383561643835616,0.4383561643835616
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,16,0.4977168949771689,0.5068493150684932
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,18,0.4885844748858447,0.4931506849315068
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,72,0.4258373205741627,0.4258373205741627
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,59,0.4688995215311005,0.47368421052631576
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,21,0.45454545454545453,0.49282296650717705
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,16,0.3923444976076555,0.4880382775119617
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,26,0.4258373205741627,0.4449760765550239
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,133,0.41708542713567837,0.4221105527638191
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,5,0.23115577889447236,0.507537688442211
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,37,0.4472361809045226,0.4723618090452261
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,21,0.3165829145728643,0.4472361809045226
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,36,0.40703517587939697,0.4472361809045226
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,66,0.41798941798941797,0.42857142857142855
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,6,0.20634920634920634,0.5132275132275133
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,15,0.2857142857142857,0.43386243386243384
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,25,0.43386243386243384,0.5026455026455027
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,25,0.38095238095238093,0.48148148148148145
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,48,0.3854748603351955,0.40782122905027934
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,7,0.24022346368715083,0.5698324022346368
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,48,0.4134078212290503,0.4692737430167598
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,20,0.3407821229050279,0.5027932960893855
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,52,0.41899441340782123,0.48044692737430167
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,156,0.46153846153846156,0.46745562130177515
1,RNN,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,8,0.20710059171597633,0.5443786982248521
1,RNN,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,47,0.40236686390532544,0.4556213017751479
1,RNN,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,25,0.3431952662721893,0.5088757396449705
1,RNN,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,29,0.40236686390532544,0.4911242603550296
1,RNN,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,51,0.2641509433962264,0.4025157232704403
1,RNN,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,9,0.25157232704402516,0.5534591194968553
1,RNN,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,10,0.24528301886792453,0.4968553459119497
1,RNN,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,16,0.2138364779874214,0.5283018867924528
1,RNN,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,26,0.2893081761006289,0.4968553459119497
1,RNN,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,87,0.3691275167785235,0.4161073825503356
1,RNN,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,9,0.2214765100671141,0.5436241610738255
1,RNN,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,25,0.2751677852348993,0.44966442953020136
1,RNN,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,14,0.2550335570469799,0.5100671140939598
1,RNN,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,34,0.3422818791946309,0.5369127516778524
1,RNN,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,150,0.4460431654676259,0.4676258992805755
1,RNN,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,14,0.2014388489208633,0.5251798561151079
1,RNN,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,61,0.3597122302158273,0.4748201438848921
1,RNN,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,30,0.2446043165467626,0.43884892086330934
1,RNN,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,61,0.41007194244604317,0.48201438848920863
1,RNN,2009-3-10,2018-10-31,1000,100,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,39,0.24031007751937986,0.4108527131782946
1,RNN,2009-3-10,2018-10-31,1000,200,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,20,0.2558139534883721,0.5503875968992248
1,RNN,2009-3-10,2018-10-31,1000,300,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,11,0.2558139534883721,0.4883720930232558
1,RNN,2009-3-10,2018-10-31,1000,400,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,51,0.3643410852713178,0.49612403100775193
1,RNN,2009-3-10,2018-10-31,1000,500,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ BB_one_hot_neutral,52,0.35658914728682173,0.5116279069767442
