day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,26,0.4748858447488584,0.4748858447488584
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,10,0.4611872146118721,0.4977168949771689
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,21,0.4931506849315068,0.4977168949771689
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,4,0.3561643835616438,0.4657534246575342
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,2,0.3242009132420091,0.4885844748858447
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,47,0.44976076555023925,0.45454545454545453
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,2,0.23923444976076555,0.5119617224880383
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,8,0.3014354066985646,0.4880382775119617
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,3,0.20095693779904306,0.5215311004784688
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,9,0.2727272727272727,0.4784688995215311
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,30,0.40703517587939697,0.45226130653266333
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,4,0.23618090452261306,0.5125628140703518
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,7,0.23618090452261306,0.4321608040201005
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,13,0.33668341708542715,0.5175879396984925
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,11,0.35678391959798994,0.47738693467336685
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,34,0.37037037037037035,0.4497354497354497
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,4,0.20634920634920634,0.5132275132275133
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,10,0.25925925925925924,0.5026455026455027
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,6,0.2328042328042328,0.5238095238095238
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,6,0.26455026455026454,0.5132275132275133
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,45,0.40782122905027934,0.4748603351955307
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,5,0.22346368715083798,0.547486033519553
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY TOPIX DOW30 NASDAQ,12,0.22346368715083798,0.441340782122905
