day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,30,0.4474885844748858,0.4520547945205479
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,22,0.4611872146118721,0.4657534246575342
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,22,0.5068493150684932,0.5068493150684932
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,13,0.4748858447488584,0.4977168949771689
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,16,0.4657534246575342,0.4840182648401826
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,43,0.4449760765550239,0.44976076555023925
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,3,0.2631578947368421,0.5789473684210527
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,40,0.45933014354066987,0.46411483253588515
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,12,0.36363636363636365,0.5167464114832536
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,35,0.44976076555023925,0.48325358851674644
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,67,0.45226130653266333,0.457286432160804
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,4,0.24120603015075376,0.5778894472361809
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,35,0.507537688442211,0.5125628140703518
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,26,0.37185929648241206,0.46733668341708545
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,17,0.3869346733668342,0.49748743718592964
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,61,0.47619047619047616,0.47619047619047616
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,5,0.2222222222222222,0.5661375661375662
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,48,0.48677248677248675,0.5079365079365079
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,29,0.35978835978835977,0.5132275132275133
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,15,0.37566137566137564,0.5291005291005291
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5 BB_one_hot_neutral,33,0.3854748603351955,0.48044692737430167
