day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,33,0.4429223744292237,0.4520547945205479
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,2,0.2511415525114155,0.5388127853881278
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,14,0.4063926940639269,0.4657534246575342
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,11,0.3561643835616438,0.4429223744292237
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,3,0.3378995433789954,0.4977168949771689
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,46,0.5119617224880383,0.5167464114832536
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,3,0.2679425837320574,0.5454545454545454
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,16,0.3588516746411483,0.4784688995215311
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,8,0.2679425837320574,0.5311004784688995
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,8,0.3253588516746411,0.5167464114832536
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,41,0.40703517587939697,0.4472361809045226
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,5,0.2663316582914573,0.5527638190954773
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,20,0.35175879396984927,0.4623115577889447
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,22,0.3417085427135678,0.4824120603015075
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,15,0.38190954773869346,0.5226130653266332
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,77,0.42328042328042326,0.43915343915343913
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,6,0.21693121693121692,0.5502645502645502
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,17,0.25925925925925924,0.455026455026455
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,8,0.20634920634920634,0.5767195767195767
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,9,0.2857142857142857,0.5343915343915344
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,22,0.2905027932960894,0.5251396648044693
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,7,0.2122905027932961,0.5586592178770949
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,17,0.24581005586592178,0.49162011173184356
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,24,0.2681564245810056,0.5363128491620112
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,21,0.3575418994413408,0.5642458100558659
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5,132,0.47337278106508873,0.48520710059171596
