day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5_25 BB_one_hot_neutral,29,0.4840182648401826,0.4885844748858447
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5_25 BB_one_hot_neutral,23,0.4703196347031963,0.4703196347031963
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5_25 BB_one_hot_neutral,14,0.45662100456621,0.45662100456621
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5_25 BB_one_hot_neutral,8,0.4794520547945205,0.4931506849315068
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5_25 BB_one_hot_neutral,13,0.4337899543378995,0.4474885844748858
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5_25 BB_one_hot_neutral,40,0.4449760765550239,0.44976076555023925
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5_25 BB_one_hot_neutral,32,0.48325358851674644,0.48325358851674644
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5_25 BB_one_hot_neutral,15,0.48325358851674644,0.49282296650717705
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5_25 BB_one_hot_neutral,6,0.3397129186602871,0.5454545454545454
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5_25 BB_one_hot_neutral,22,0.48325358851674644,0.5023923444976076
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5_25 BB_one_hot_neutral,63,0.4623115577889447,0.4623115577889447
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5_25 BB_one_hot_neutral,4,0.23618090452261306,0.5778894472361809
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX DOW30 SMA_5_25 BB_one_hot_neutral,22,0.45226130653266333,0.4723618090452261
