day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,25,0.4840182648401826,0.4840182648401826
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,22,0.4703196347031963,0.4703196347031963
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,13,0.4657534246575342,0.4657534246575342
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,21,0.4794520547945205,0.4840182648401826
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,19,0.4931506849315068,0.4977168949771689
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,92,0.430622009569378,0.430622009569378
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,55,0.4449760765550239,0.44976076555023925
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,35,0.49282296650717705,0.49282296650717705
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,10,0.44976076555023925,0.5215311004784688
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,20,0.44976076555023925,0.5119617224880383
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,92,0.41708542713567837,0.41708542713567837
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,5,0.27638190954773867,0.5628140703517588
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,39,0.4271356783919598,0.45226130653266333
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,19,0.4271356783919598,0.5376884422110553
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,14,0.35678391959798994,0.47738693467336685
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,80,0.47619047619047616,0.48677248677248675
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,6,0.30158730158730157,0.5714285714285714
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,15,0.3439153439153439,0.48677248677248675
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,13,0.3386243386243386,0.5185185185185185
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,28,0.4021164021164021,0.48148148148148145
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,60,0.40782122905027934,0.4134078212290503
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,7,0.27932960893854747,0.5698324022346368
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,28,0.3575418994413408,0.49162011173184356
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,7,0.24022346368715083,0.553072625698324
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,19,0.36312849162011174,0.5251396648044693
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,76,0.4319526627218935,0.4437869822485207
1,RNN,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,27,0.33136094674556216,0.5739644970414202
1,RNN,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,57,0.47337278106508873,0.5029585798816568
1,RNN,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,12,0.20710059171597633,0.5029585798816568
1,RNN,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,19,0.38461538461538464,0.5266272189349113
1,RNN,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,34,0.31446540880503143,0.4716981132075472
1,RNN,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,12,0.2389937106918239,0.559748427672956
1,RNN,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10 BB_one_hot_neutral,10,0.22641509433962265,0.44025157232704404
