day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,22,0.5296803652968036,0.5296803652968036
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,17,0.5068493150684932,0.5114155251141552
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,14,0.4611872146118721,0.4703196347031963
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,3,0.3424657534246575,0.4931506849315068
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,6,0.4200913242009132,0.4977168949771689
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,25,0.41148325358851673,0.44019138755980863
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,14,0.3588516746411483,0.46411483253588515
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,8,0.3397129186602871,0.4784688995215311
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,6,0.291866028708134,0.5454545454545454
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,5,0.33014354066985646,0.4784688995215311
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,40,0.4271356783919598,0.4371859296482412
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,3,0.2663316582914573,0.5829145728643216
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,14,0.3165829145728643,0.457286432160804
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,4,0.27638190954773867,0.542713567839196
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,12,0.33668341708542715,0.49246231155778897
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,36,0.3915343915343915,0.42328042328042326
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,4,0.23809523809523808,0.5873015873015873
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,10,0.30158730158730157,0.4656084656084656
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,19,0.31216931216931215,0.47619047619047616
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,11,0.36507936507936506,0.5238095238095238
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,21,0.2849162011173184,0.4134078212290503
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,5,0.2849162011173184,0.6089385474860335
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,20,0.35195530726256985,0.4581005586592179
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,5,0.18435754189944134,0.5363128491620112
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,13,0.3128491620111732,0.5418994413407822
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,62,0.41420118343195267,0.4378698224852071
1,RNN,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,6,0.26627218934911245,0.6035502958579881
1,RNN,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,14,0.22485207100591717,0.46153846153846156
1,RNN,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,10,0.2603550295857988,0.5384615384615384
1,RNN,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,13,0.34911242603550297,0.5266272189349113
1,RNN,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,18,0.25157232704402516,0.46540880503144655
1,RNN,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,7,0.2138364779874214,0.5660377358490566
1,RNN,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,7,0.2578616352201258,0.4779874213836478
1,RNN,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,7,0.1320754716981132,0.49056603773584906
1,RNN,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,12,0.36477987421383645,0.5471698113207547
1,RNN,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,31,0.3087248322147651,0.4697986577181208
1,RNN,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,7,0.24161073825503357,0.5906040268456376
1,RNN,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,16,0.2080536912751678,0.4429530201342282
1,RNN,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,23,0.28859060402684567,0.4899328859060403
1,RNN,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,21,0.37583892617449666,0.5302013422818792
1,RNN,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,115,0.45323741007194246,0.460431654676259
1,RNN,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,10,0.2949640287769784,0.5827338129496403
1,RNN,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,20,0.2446043165467626,0.4460431654676259
1,RNN,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,40,0.2805755395683453,0.48201438848920863
1,RNN,2009-3-10,2018-10-31,900,500,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,26,0.38848920863309355,0.5539568345323741
1,RNN,2009-3-10,2018-10-31,1000,100,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,25,0.27906976744186046,0.49612403100775193
1,RNN,2009-3-10,2018-10-31,1000,200,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,11,0.26356589147286824,0.5426356589147286
1,RNN,2009-3-10,2018-10-31,1000,300,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,41,0.3488372093023256,0.4496124031007752
1,RNN,2009-3-10,2018-10-31,1000,400,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,9,0.20155038759689922,0.5193798449612403
1,RNN,2009-3-10,2018-10-31,1000,500,USD_JPY_diff USD_JPY TOPIX DOW30 treasury_10,18,0.3488372093023256,0.5503875968992248
