day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX DOW30,27,0.4703196347031963,0.4703196347031963
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX DOW30,19,0.502283105022831,0.5114155251141552
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX DOW30,4,0.3242009132420091,0.45662100456621
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX DOW30,4,0.3515981735159817,0.5251141552511416
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX DOW30,2,0.3105022831050228,0.4931506849315068
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX DOW30,51,0.4784688995215311,0.4784688995215311
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX DOW30,2,0.2535885167464115,0.5311004784688995
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX DOW30,23,0.47368421052631576,0.5023923444976076
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX DOW30,9,0.32057416267942584,0.5119617224880383
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX DOW30,13,0.3923444976076555,0.507177033492823
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX DOW30,31,0.41708542713567837,0.4371859296482412
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX DOW30,3,0.22613065326633167,0.5326633165829145
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX DOW30,9,0.2663316582914573,0.49246231155778897
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX DOW30,5,0.25125628140703515,0.5376884422110553
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX DOW30,8,0.36683417085427134,0.5226130653266332
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX DOW30,54,0.455026455026455,0.4656084656084656
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX DOW30,4,0.21164021164021163,0.5608465608465608
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY TOPIX DOW30,8,0.2222222222222222,0.48148148148148145
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY TOPIX DOW30,6,0.19047619047619047,0.5502645502645502
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY TOPIX DOW30,9,0.35978835978835977,0.5185185185185185
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY TOPIX DOW30,30,0.3407821229050279,0.5251396648044693
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY TOPIX DOW30,5,0.24022346368715083,0.5810055865921788
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY TOPIX DOW30,10,0.21787709497206703,0.46368715083798884
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY TOPIX DOW30,20,0.26256983240223464,0.4860335195530726
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY TOPIX DOW30,11,0.3407821229050279,0.5418994413407822
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY TOPIX DOW30,79,0.47337278106508873,0.47928994082840237
