day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX NASDAQ,18,0.4611872146118721,0.4657534246575342
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX NASDAQ,16,0.4748858447488584,0.4794520547945205
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX NASDAQ,7,0.3789954337899543,0.4611872146118721
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX NASDAQ,10,0.3835616438356164,0.4018264840182648
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX NASDAQ,9,0.4383561643835616,0.4977168949771689
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX NASDAQ,79,0.45454545454545453,0.45933014354066987
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX NASDAQ,21,0.42105263157894735,0.47368421052631576
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX NASDAQ,12,0.3253588516746411,0.4354066985645933
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX NASDAQ,12,0.36363636363636365,0.4784688995215311
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX NASDAQ,18,0.3349282296650718,0.4258373205741627
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX NASDAQ,114,0.4120603015075377,0.4120603015075377
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX NASDAQ,53,0.4221105527638191,0.4321608040201005
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX NASDAQ,3,0.010050251256281407,0.5326633165829145
