day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,18,0.4801762114537445,0.4845814977973568
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,14,0.5154185022026432,0.5154185022026432
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,11,0.47577092511013214,0.4801762114537445
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,5,0.5154185022026432,0.5286343612334802
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,11,0.5418502202643172,0.5418502202643172
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,35,0.4838709677419355,0.48847926267281105
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,23,0.511520737327189,0.511520737327189
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,23,0.5391705069124424,0.543778801843318
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,26,0.5069124423963134,0.511520737327189
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,18,0.423963133640553,0.42857142857142855
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,46,0.4782608695652174,0.4830917874396135
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,5,0.00966183574879227,0.5217391304347826
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,4,0.00966183574879227,0.5217391304347826
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,9,0.00966183574879227,0.5217391304347826
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,43,0.5314009661835749,0.5362318840579711
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,89,0.5228426395939086,0.5228426395939086
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,5,0.01015228426395939,0.5329949238578681
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,5,0.01015228426395939,0.5329949238578681
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,7,0.01015228426395939,0.5329949238578681
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,38,0.5126903553299492,0.5228426395939086
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,90,0.5187165775401069,0.5240641711229946
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,7,0.0106951871657754,0.5401069518716578
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,6,0.0106951871657754,0.5401069518716578
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,8,0.0106951871657754,0.5401069518716578
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,44,0.49732620320855614,0.49732620320855614
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,63,0.4858757062146893,0.5028248587570622
1,RNN,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,8,0.011299435028248588,0.5423728813559322
1,RNN,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,9,0.011299435028248588,0.5423728813559322
1,RNN,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,10,0.011299435028248588,0.5423728813559322
1,RNN,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,82,0.4971751412429379,0.5028248587570622
1,RNN,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,209,0.437125748502994,0.4431137724550898
1,RNN,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,9,0.011976047904191617,0.5329341317365269
1,RNN,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,11,0.011976047904191617,0.5329341317365269
1,RNN,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,15,0.011976047904191617,0.5329341317365269
1,RNN,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,82,0.4311377245508982,0.437125748502994
1,RNN,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,150,0.4394904458598726,0.445859872611465
1,RNN,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,7,0.012738853503184714,0.5414012738853503
1,RNN,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,8,0.012738853503184714,0.5414012738853503
1,RNN,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,11,0.012738853503184714,0.5414012738853503
1,RNN,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,88,0.5605095541401274,0.5668789808917197
1,RNN,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,171,0.46258503401360546,0.46258503401360546
1,RNN,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY TOPIX RSI_one_hot,8,0.006802721088435374,0.54421768707483
