day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX SMA_5_25,45,0.5198237885462555,0.5198237885462555
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX SMA_5_25,18,0.5110132158590308,0.5198237885462555
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX SMA_5_25,11,0.5374449339207048,0.5770925110132159
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX SMA_5_25,2,0.2599118942731278,0.5110132158590308
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX SMA_5_25,9,0.43612334801762115,0.5110132158590308
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX SMA_5_25,52,0.4930875576036866,0.5023041474654378
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX SMA_5_25,46,0.5345622119815668,0.5391705069124424
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX SMA_5_25,11,0.4700460829493088,0.48847926267281105
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX SMA_5_25,19,0.3778801843317972,0.46543778801843316
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX SMA_5_25,11,0.4055299539170507,0.5161290322580645
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX SMA_5_25,3,0.00966183574879227,0.5217391304347826
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX SMA_5_25,3,0.00966183574879227,0.5217391304347826
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX SMA_5_25,23,0.4251207729468599,0.4927536231884058
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX SMA_5_25,4,0.00966183574879227,0.5217391304347826
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX SMA_5_25,14,0.3526570048309179,0.46859903381642515
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX SMA_5_25,4,0.01015228426395939,0.5329949238578681
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX SMA_5_25,4,0.01015228426395939,0.5329949238578681
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY TOPIX SMA_5_25,41,0.4010152284263959,0.43147208121827413
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY TOPIX SMA_5_25,5,0.01015228426395939,0.5329949238578681
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY TOPIX SMA_5_25,24,0.4365482233502538,0.4619289340101523
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY TOPIX SMA_5_25,5,0.0106951871657754,0.5401069518716578
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY TOPIX SMA_5_25,5,0.0106951871657754,0.5401069518716578
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY TOPIX SMA_5_25,59,0.36363636363636365,0.45454545454545453
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY TOPIX SMA_5_25,5,0.0106951871657754,0.5401069518716578
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY TOPIX SMA_5_25,15,0.3155080213903743,0.5240641711229946
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY TOPIX SMA_5_25,6,0.011299435028248588,0.5423728813559322
1,RNN,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY TOPIX SMA_5_25,6,0.011299435028248588,0.5423728813559322
