day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX treasury_10,60,0.5357142857142857,0.5446428571428571
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX treasury_10,39,0.5446428571428571,0.5491071428571429
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX treasury_10,28,0.47767857142857145,0.47767857142857145
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX treasury_10,19,0.5,0.5178571428571429
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX treasury_10,22,0.48660714285714285,0.5044642857142857
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX treasury_10,137,0.5233644859813084,0.5327102803738317
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX treasury_10,50,0.514018691588785,0.5233644859813084
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX treasury_10,37,0.48598130841121495,0.5233644859813084
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX treasury_10,47,0.5373831775700935,0.5420560747663551
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX treasury_10,29,0.49065420560747663,0.5233644859813084
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX treasury_10,187,0.5245098039215687,0.5343137254901961
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX treasury_10,141,0.49019607843137253,0.5049019607843137
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX treasury_10,74,0.5049019607843137,0.5098039215686274
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX treasury_10,73,0.5,0.5098039215686274
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX treasury_10,45,0.47549019607843135,0.5245098039215687
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY TOPIX treasury_10,145,0.4587628865979381,0.4587628865979381
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY TOPIX treasury_10,124,0.4793814432989691,0.4845360824742268
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY TOPIX treasury_10,99,0.5257731958762887,0.5309278350515464
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY TOPIX treasury_10,73,0.4793814432989691,0.5051546391752577
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY TOPIX treasury_10,59,0.44329896907216493,0.4845360824742268
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY TOPIX treasury_10,245,0.5,0.5108695652173914
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY TOPIX treasury_10,164,0.5108695652173914,0.5217391304347826
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY TOPIX treasury_10,122,0.5434782608695652,0.5543478260869565
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY TOPIX treasury_10,75,0.4891304347826087,0.5434782608695652
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY TOPIX treasury_10,95,0.5760869565217391,0.5869565217391305
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY TOPIX treasury_10,304,0.4540229885057471,0.46551724137931033
1,RNN,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY TOPIX treasury_10,252,0.5057471264367817,0.5172413793103449
