day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY TOPIX,46,0.5198237885462555,0.5198237885462555
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY TOPIX,15,0.4977973568281938,0.5066079295154186
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY TOPIX,19,0.5330396475770925,0.5462555066079295
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY TOPIX,13,0.42290748898678415,0.46255506607929514
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY TOPIX,6,0.43171806167400884,0.5154185022026432
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY TOPIX,77,0.5483870967741935,0.5576036866359447
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY TOPIX,24,0.5207373271889401,0.5253456221198156
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY TOPIX,19,0.4377880184331797,0.5161290322580645
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY TOPIX,16,0.3824884792626728,0.46543778801843316
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY TOPIX,13,0.4377880184331797,0.5253456221198156
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY TOPIX,111,0.5217391304347826,0.5265700483091788
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY TOPIX,34,0.4830917874396135,0.48792270531400966
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY TOPIX,3,0.00966183574879227,0.5217391304347826
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY TOPIX,4,0.00966183574879227,0.5217391304347826
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY TOPIX,11,0.27053140096618356,0.45410628019323673
