day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY nikkei TOPIX DOW30 BB_one_hot_neutral,15,0.547945205479452,0.5525114155251142
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY nikkei TOPIX DOW30 BB_one_hot_neutral,11,0.4611872146118721,0.4657534246575342
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY nikkei TOPIX DOW30 BB_one_hot_neutral,15,0.4748858447488584,0.4840182648401826
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY nikkei TOPIX DOW30 BB_one_hot_neutral,10,0.4703196347031963,0.4748858447488584
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY nikkei TOPIX DOW30 BB_one_hot_neutral,12,0.4657534246575342,0.4703196347031963
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY nikkei TOPIX DOW30 BB_one_hot_neutral,30,0.5167464114832536,0.5215311004784688
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY nikkei TOPIX DOW30 BB_one_hot_neutral,13,0.39712918660287083,0.430622009569378
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY nikkei TOPIX DOW30 BB_one_hot_neutral,4,0.2535885167464115,0.4784688995215311
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY nikkei TOPIX DOW30 BB_one_hot_neutral,24,0.4354066985645933,0.44976076555023925
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY nikkei TOPIX DOW30 BB_one_hot_neutral,25,0.44976076555023925,0.45454545454545453
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY nikkei TOPIX DOW30 BB_one_hot_neutral,40,0.507537688442211,0.5125628140703518
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY nikkei TOPIX DOW30 BB_one_hot_neutral,24,0.4120603015075377,0.4271356783919598
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY nikkei TOPIX DOW30 BB_one_hot_neutral,6,0.32663316582914576,0.46733668341708545
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY nikkei TOPIX DOW30 BB_one_hot_neutral,4,0.32160804020100503,0.5276381909547738
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY nikkei TOPIX DOW30 BB_one_hot_neutral,28,0.47738693467336685,0.5226130653266332
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY nikkei TOPIX DOW30 BB_one_hot_neutral,36,0.5079365079365079,0.5185185185185185
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY nikkei TOPIX DOW30 BB_one_hot_neutral,5,0.2698412698412698,0.5026455026455027
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY nikkei TOPIX DOW30 BB_one_hot_neutral,6,0.2328042328042328,0.42857142857142855
