day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY nikkei TOPIX treasury_10 SMA_5,14,0.4419642857142857,0.44642857142857145
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY nikkei TOPIX treasury_10 SMA_5,11,0.5133928571428571,0.5178571428571429
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY nikkei TOPIX treasury_10 SMA_5,14,0.4375,0.4419642857142857
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY nikkei TOPIX treasury_10 SMA_5,13,0.5401785714285714,0.5446428571428571
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY nikkei TOPIX treasury_10 SMA_5,13,0.5044642857142857,0.5133928571428571
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY nikkei TOPIX treasury_10 SMA_5,42,0.5186915887850467,0.5233644859813084
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY nikkei TOPIX treasury_10 SMA_5,64,0.49065420560747663,0.5
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY nikkei TOPIX treasury_10 SMA_5,21,0.4719626168224299,0.5327102803738317
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY nikkei TOPIX treasury_10 SMA_5,27,0.5280373831775701,0.5420560747663551
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY nikkei TOPIX treasury_10 SMA_5,19,0.3925233644859813,0.5420560747663551
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY nikkei TOPIX treasury_10 SMA_5,99,0.4411764705882353,0.44607843137254904
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY nikkei TOPIX treasury_10 SMA_5,40,0.5049019607843137,0.5196078431372549
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY nikkei TOPIX treasury_10 SMA_5,60,0.4019607843137255,0.4803921568627451
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY nikkei TOPIX treasury_10 SMA_5,25,0.37745098039215685,0.4950980392156863
