day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY nikkei TOPIX,45,0.5418502202643172,0.5506607929515418
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY nikkei TOPIX,22,0.5110132158590308,0.5198237885462555
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY nikkei TOPIX,30,0.4845814977973568,0.5594713656387665
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY nikkei TOPIX,22,0.5110132158590308,0.5154185022026432
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY nikkei TOPIX,15,0.4581497797356828,0.5242290748898678
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY nikkei TOPIX,124,0.5069124423963134,0.511520737327189
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY nikkei TOPIX,127,0.511520737327189,0.5161290322580645
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY nikkei TOPIX,51,0.511520737327189,0.5345622119815668
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY nikkei TOPIX,23,0.3548387096774194,0.46543778801843316
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY nikkei TOPIX,24,0.4423963133640553,0.5069124423963134
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY nikkei TOPIX,170,0.4975845410628019,0.5072463768115942
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY nikkei TOPIX,92,0.4975845410628019,0.5120772946859904
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY nikkei TOPIX,4,0.00966183574879227,0.5217391304347826
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY nikkei TOPIX,24,0.3333333333333333,0.4782608695652174
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY nikkei TOPIX,38,0.4251207729468599,0.45410628019323673
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY nikkei TOPIX,158,0.5380710659898477,0.5431472081218274
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY nikkei TOPIX,89,0.47715736040609136,0.4873096446700508
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY nikkei TOPIX,6,0.01015228426395939,0.5329949238578681
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY nikkei TOPIX,62,0.4213197969543147,0.5025380710659898
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY nikkei TOPIX,48,0.467005076142132,0.5431472081218274
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY nikkei TOPIX,243,0.48663101604278075,0.4919786096256685
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY nikkei TOPIX,31,0.26737967914438504,0.48128342245989303
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY nikkei TOPIX,7,0.0106951871657754,0.5401069518716578
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY nikkei TOPIX,78,0.40106951871657753,0.45989304812834225
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY nikkei TOPIX,59,0.42245989304812837,0.5133689839572193
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY nikkei TOPIX,297,0.480225988700565,0.4858757062146893
1,RNN,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY nikkei TOPIX,129,0.4915254237288136,0.4971751412429379
1,RNN,2009-3-10,2018-10-31,600,300,USD_JPY_diff USD_JPY nikkei TOPIX,8,0.011299435028248588,0.5423728813559322
1,RNN,2009-3-10,2018-10-31,600,400,USD_JPY_diff USD_JPY nikkei TOPIX,102,0.5084745762711864,0.5141242937853108
1,RNN,2009-3-10,2018-10-31,600,500,USD_JPY_diff USD_JPY nikkei TOPIX,84,0.4406779661016949,0.4971751412429379
1,RNN,2009-3-10,2018-10-31,700,100,USD_JPY_diff USD_JPY nikkei TOPIX,331,0.47904191616766467,0.48502994011976047
1,RNN,2009-3-10,2018-10-31,700,200,USD_JPY_diff USD_JPY nikkei TOPIX,244,0.4550898203592814,0.46107784431137727
1,RNN,2009-3-10,2018-10-31,700,300,USD_JPY_diff USD_JPY nikkei TOPIX,9,0.011976047904191617,0.5329341317365269
1,RNN,2009-3-10,2018-10-31,700,400,USD_JPY_diff USD_JPY nikkei TOPIX,74,0.3532934131736527,0.4491017964071856
1,RNN,2009-3-10,2018-10-31,700,500,USD_JPY_diff USD_JPY nikkei TOPIX,41,0.32335329341317365,0.46706586826347307
1,RNN,2009-3-10,2018-10-31,800,100,USD_JPY_diff USD_JPY nikkei TOPIX,332,0.4840764331210191,0.49044585987261147
1,RNN,2009-3-10,2018-10-31,800,200,USD_JPY_diff USD_JPY nikkei TOPIX,339,0.4140127388535032,0.42038216560509556
1,RNN,2009-3-10,2018-10-31,800,300,USD_JPY_diff USD_JPY nikkei TOPIX,9,0.012738853503184714,0.5414012738853503
1,RNN,2009-3-10,2018-10-31,800,400,USD_JPY_diff USD_JPY nikkei TOPIX,40,0.34394904458598724,0.4713375796178344
1,RNN,2009-3-10,2018-10-31,800,500,USD_JPY_diff USD_JPY nikkei TOPIX,77,0.35668789808917195,0.4267515923566879
1,RNN,2009-3-10,2018-10-31,900,100,USD_JPY_diff USD_JPY nikkei TOPIX,333,0.4557823129251701,0.4557823129251701
1,RNN,2009-3-10,2018-10-31,900,200,USD_JPY_diff USD_JPY nikkei TOPIX,359,0.46258503401360546,0.46258503401360546
1,RNN,2009-3-10,2018-10-31,900,300,USD_JPY_diff USD_JPY nikkei TOPIX,10,0.006802721088435374,0.54421768707483
1,RNN,2009-3-10,2018-10-31,900,400,USD_JPY_diff USD_JPY nikkei TOPIX,10,0.24489795918367346,0.4965986394557823
