day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY nikkei,94,0.5022026431718062,0.5110132158590308
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY nikkei,36,0.5110132158590308,0.5242290748898678
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY nikkei,45,0.5154185022026432,0.5198237885462555
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY nikkei,32,0.4977973568281938,0.5154185022026432
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY nikkei,17,0.5066079295154186,0.5374449339207048
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY nikkei,147,0.45622119815668205,0.46543778801843316
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY nikkei,104,0.5299539170506913,0.5391705069124424
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY nikkei,36,0.4700460829493088,0.5069124423963134
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY nikkei,20,0.30414746543778803,0.45161290322580644
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY nikkei,25,0.4792626728110599,0.511520737327189
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY nikkei,5,0.00966183574879227,0.5217391304347826
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY nikkei,5,0.00966183574879227,0.5217391304347826
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY nikkei,61,0.4396135265700483,0.463768115942029
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY nikkei,5,0.00966183574879227,0.5217391304347826
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY nikkei,30,0.38164251207729466,0.4782608695652174
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY nikkei,6,0.01015228426395939,0.5279187817258884
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY nikkei,6,0.01015228426395939,0.5279187817258884
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY nikkei,65,0.4010152284263959,0.4619289340101523
1,RNN,2009-3-10,2018-10-31,400,400,USD_JPY_diff USD_JPY nikkei,7,0.01015228426395939,0.5279187817258884
1,RNN,2009-3-10,2018-10-31,400,500,USD_JPY_diff USD_JPY nikkei,32,0.40609137055837563,0.4873096446700508
1,RNN,2009-3-10,2018-10-31,500,100,USD_JPY_diff USD_JPY nikkei,6,0.0106951871657754,0.5347593582887701
1,RNN,2009-3-10,2018-10-31,500,200,USD_JPY_diff USD_JPY nikkei,6,0.0106951871657754,0.5347593582887701
1,RNN,2009-3-10,2018-10-31,500,300,USD_JPY_diff USD_JPY nikkei,113,0.5561497326203209,0.5614973262032086
1,RNN,2009-3-10,2018-10-31,500,400,USD_JPY_diff USD_JPY nikkei,7,0.0106951871657754,0.5347593582887701
1,RNN,2009-3-10,2018-10-31,500,500,USD_JPY_diff USD_JPY nikkei,54,0.44385026737967914,0.5187165775401069
1,RNN,2009-3-10,2018-10-31,600,100,USD_JPY_diff USD_JPY nikkei,8,0.011299435028248588,0.5423728813559322
1,RNN,2009-3-10,2018-10-31,600,200,USD_JPY_diff USD_JPY nikkei,7,0.011299435028248588,0.5423728813559322
