day,model,start date,end date,maxlen,n_hidden,combination,time,correct,semi_correct
1,RNN,2009-3-10,2018-10-31,100,100,USD_JPY_diff USD_JPY,45,0.49377593360995853,0.49377593360995853
1,RNN,2009-3-10,2018-10-31,100,200,USD_JPY_diff USD_JPY,10,0.4066390041493776,0.5020746887966805
1,RNN,2009-3-10,2018-10-31,100,300,USD_JPY_diff USD_JPY,16,0.5186721991701245,0.5228215767634855
1,RNN,2009-3-10,2018-10-31,100,400,USD_JPY_diff USD_JPY,6,0.43568464730290457,0.5228215767634855
1,RNN,2009-3-10,2018-10-31,100,500,USD_JPY_diff USD_JPY,8,0.44398340248962653,0.4854771784232365
1,RNN,2009-3-10,2018-10-31,200,100,USD_JPY_diff USD_JPY,2,0.008658008658008658,0.5151515151515151
1,RNN,2009-3-10,2018-10-31,200,200,USD_JPY_diff USD_JPY,3,0.008658008658008658,0.5151515151515151
1,RNN,2009-3-10,2018-10-31,200,300,USD_JPY_diff USD_JPY,8,0.008658008658008658,0.5151515151515151
1,RNN,2009-3-10,2018-10-31,200,400,USD_JPY_diff USD_JPY,8,0.008658008658008658,0.5151515151515151
1,RNN,2009-3-10,2018-10-31,200,500,USD_JPY_diff USD_JPY,6,0.2943722943722944,0.5021645021645021
1,RNN,2009-3-10,2018-10-31,300,100,USD_JPY_diff USD_JPY,3,0.00904977375565611,0.5113122171945701
1,RNN,2009-3-10,2018-10-31,300,200,USD_JPY_diff USD_JPY,3,0.00904977375565611,0.5113122171945701
1,RNN,2009-3-10,2018-10-31,300,300,USD_JPY_diff USD_JPY,3,0.00904977375565611,0.5113122171945701
1,RNN,2009-3-10,2018-10-31,300,400,USD_JPY_diff USD_JPY,3,0.00904977375565611,0.5113122171945701
1,RNN,2009-3-10,2018-10-31,300,500,USD_JPY_diff USD_JPY,4,0.00904977375565611,0.5113122171945701
1,RNN,2009-3-10,2018-10-31,400,100,USD_JPY_diff USD_JPY,4,0.009478672985781991,0.5118483412322274
1,RNN,2009-3-10,2018-10-31,400,200,USD_JPY_diff USD_JPY,4,0.009478672985781991,0.5118483412322274
1,RNN,2009-3-10,2018-10-31,400,300,USD_JPY_diff USD_JPY,4,0.009478672985781991,0.5118483412322274
